cod_final,n1,n2,nome,status,n_produtos,n_celulas,anos_cobertos,anos_ausentes,regras,dominio
01101,1. Cereais e leguminosas,1.1 Cereais,Arroz integral; Arroz não especificado; Arroz polido,ativo,153,39,5,,,food
01102,1. Cereais e leguminosas,1.1 Cereais,Milho seco; Milho em grão; Milho verde em conserva; Milho verde em espiga,ativo,116,29,5,,,food
01103,1. Cereais e leguminosas,1.1 Cereais,Aveia,ativo,11,5,5,,,food
01104,1. Cereais e leguminosas,1.1 Cereais,Cevada,ativo,5,5,5,,,food
01105,1. Cereais e leguminosas,1.1 Cereais,Trigo,ativo,18,5,5,,,food
01199,1. Cereais e leguminosas,1.1 Cereais,Outros,ativo,39,17,5,,,food
01201,1. Cereais e leguminosas,1.2 Leguminosas,Feijão-fradinho,ativo,205,7,5,,,food
01202,1. Cereais e leguminosas,1.2 Leguminosas,Feijão-jalo,ativo,29,5,5,,,food
01203,1. Cereais e leguminosas,1.2 Leguminosas,Feijão-manteiga,ativo,41,5,5,,,food
01204,1. Cereais e leguminosas,1.2 Leguminosas,Feijão-mulatinho,ativo,72,7,5,,,food
01205,1. Cereais e leguminosas,1.2 Leguminosas,Feijão-preto,ativo,74,7,5,,,food
01206,1. Cereais e leguminosas,1.2 Leguminosas,Feijão-rajado,ativo,64,5,5,,,food
01207,1. Cereais e leguminosas,1.2 Leguminosas,Feijão-roxo,ativo,43,5,5,,,food
01208,1. Cereais e leguminosas,1.2 Leguminosas,Outros feijões,ativo,194,48,5,,,food
01209,1. Cereais e leguminosas,1.2 Leguminosas,Grão de bico,ativo,5,5,5,,,food
01210,1. Cereais e leguminosas,1.2 Leguminosas,Lentilha,ativo,5,5,5,,,food
01211,1. Cereais e leguminosas,1.2 Leguminosas,Tremolo,ativo,13,5,5,,,food
01212,1. Cereais e leguminosas,1.2 Leguminosas,Soja em grão,ativo,13,7,5,,,food
01213,1. Cereais e leguminosas,1.2 Leguminosas,Ervilha em grãos,ativo,5,5,5,,,food
01299,1. Cereais e leguminosas,1.2 Leguminosas,Outras,ativo,28,16,4,2002,,food
02101,2. Hortaliças,2.1 Hortaliças folhosas e florais,Agrião,ativo,34,7,5,,,food
02102,2. Hortaliças,2.1 Hortaliças folhosas e florais,Alface,ativo,69,7,5,,,food
02103,2. Hortaliças,2.1 Hortaliças folhosas e florais,Cheiro-verde,ativo,43,15,5,,,food
02104,2. Hortaliças,2.1 Hortaliças folhosas e florais,Couve; Couve-brócolis,ativo,57,19,5,,,food
02105,2. Hortaliças,2.1 Hortaliças folhosas e florais,Couve-flor,ativo,7,7,5,,,food
02106,2. Hortaliças,2.1 Hortaliças folhosas e florais,Repolho fresco; Repolho,ativo,20,8,5,,,food
02107,2. Hortaliças,2.1 Hortaliças folhosas e florais,Outras; Acelga,ativo,447,160,5,,,food
02201,2. Hortaliças,2.2 Hortaliças frutosas,Abóbora comum; Abóbora,ativo,186,59,5,,,food
02202,2. Hortaliças,2.2 Hortaliças frutosas,Abobrinha,ativo,36,6,5,,,food
02203,2. Hortaliças,2.2 Hortaliças frutosas,Berinjela,ativo,12,8,5,,,food
02204,2. Hortaliças,2.2 Hortaliças frutosas,Cebola; Cebola fresca,ativo,55,10,5,,,food
02205,2. Hortaliças,2.2 Hortaliças frutosas,Chuchu,ativo,23,7,5,,,food
02206,2. Hortaliças,2.2 Hortaliças frutosas,Jiló,ativo,18,7,5,,,food
02207,2. Hortaliças,2.2 Hortaliças frutosas,Pepino fresco,ativo,8,7,5,,,food
02208,2. Hortaliças,2.2 Hortaliças frutosas,Pimentão,ativo,25,7,5,,,food
02209,2. Hortaliças,2.2 Hortaliças frutosas,Quiabo,ativo,14,6,5,,,food
02210,2. Hortaliças,2.2 Hortaliças frutosas,Tomate,ativo,52,11,5,,,food
02211,2. Hortaliças,2.2 Hortaliças frutosas,Vagem,ativo,23,10,5,,,food
02212,2. Hortaliças,2.2 Hortaliças frutosas,Outras; Maxixe; Azeitona em conserva; Outros feijões,ativo,381,139,5,,,food
02301,2. Hortaliças,2.3 Hortaliças tuberosas e outras,Alho,ativo,32,7,5,,,food
02302,2. Hortaliças,2.3 Hortaliças tuberosas e outras,Batata-doce,ativo,24,6,5,,,food
02303,2. Hortaliças,2.3 Hortaliças tuberosas e outras,Batata-inglesa,ativo,57,8,5,,,food
02304,2. Hortaliças,2.3 Hortaliças tuberosas e outras,Batata não especificada; Batata-baroa; Batata-aipo,ativo,77,23,5,,,food
02305,2. Hortaliças,2.3 Hortaliças tuberosas e outras,Beterraba,ativo,9,9,5,,,food
02306,2. Hortaliças,2.3 Hortaliças tuberosas e outras,Cenoura,ativo,19,7,5,,,food
02307,2. Hortaliças,2.3 Hortaliças tuberosas e outras,Inhame,ativo,42,6,5,,,food
02308,2. Hortaliças,2.3 Hortaliças tuberosas e outras,Mandioca,ativo,56,7,5,,,food
02309,2. Hortaliças,2.3 Hortaliças tuberosas e outras,Outras; Cará,ativo,158,46,5,,,food
03101,3. Frutas,3.1 Frutas de clima tropical,Abacate,ativo,5,5,5,,,food
03102,3. Frutas,3.1 Frutas de clima tropical,Abacaxi,ativo,16,6,5,,,food
03103,3. Frutas,3.1 Frutas de clima tropical,Banana-d'água,ativo,69,7,5,,,food
03104,3. Frutas,3.1 Frutas de clima tropical,Banana-maçã,ativo,33,5,5,,,food
03105,3. Frutas,3.1 Frutas de clima tropical,Banana-prata,ativo,35,7,5,,,food
03106,3. Frutas,3.1 Frutas de clima tropical,Outras bananas; Banana-ouro; Banana-da-terra,ativo,311,42,5,,,food
03107,3. Frutas,3.1 Frutas de clima tropical,Laranja-baía,ativo,27,3,3,1987;1995,,food
03108,3. Frutas,3.1 Frutas de clima tropical,Laranja-lima,ativo,61,5,5,,,food
03109,3. Frutas,3.1 Frutas de clima tropical,Laranja-pêra,ativo,65,5,5,,,food
03110,3. Frutas,3.1 Frutas de clima tropical,Laranja-seleta,ativo,57,5,5,,,food
03111,3. Frutas,3.1 Frutas de clima tropical,Limão comum,ativo,86,14,5,,,food
03112,3. Frutas,3.1 Frutas de clima tropical,Mamão,ativo,53,6,5,,,food
03113,3. Frutas,3.1 Frutas de clima tropical,Manga,ativo,95,6,5,,,food
03114,3. Frutas,3.1 Frutas de clima tropical,Maracujá,ativo,113,6,5,,,food
03115,3. Frutas,3.1 Frutas de clima tropical,Melancia,ativo,5,5,5,,,food
03116,3. Frutas,3.1 Frutas de clima tropical,Melão,ativo,36,6,5,,,food
03117,3. Frutas,3.1 Frutas de clima tropical,Tangerina,ativo,122,7,5,,,food
03118,3. Frutas,3.1 Frutas de clima tropical,Outras; Outras laranjas; Goiaba; Acerola,ativo,583,162,5,,,food
03201,3. Frutas,3.2 Frutas de clima temperado,Caqui,ativo,3,2,2,2002;2008;2017,,food
03202,3. Frutas,3.2 Frutas de clima temperado,Maçã,ativo,30,4,4,2002,,food
03203,3. Frutas,3.2 Frutas de clima temperado,Pêra,ativo,15,5,5,,,food
03204,3. Frutas,3.2 Frutas de clima temperado,Uva,ativo,84,7,5,,,food
03205,3. Frutas,3.2 Frutas de clima temperado,Outras; Pêssego; Morango; Ameixa,ativo,390,168,5,,,food
04101,"4. Cocos, castanhas e nozes",4.1 Cocos,Coco-açaí em pasta; Açaí (emulsão),ativo,61,9,5,,,food
04103,"4. Cocos, castanhas e nozes",4.1 Cocos,Coco-da-baía,ativo,29,13,5,,,food
04104,"4. Cocos, castanhas e nozes",4.1 Cocos,Outros,ativo,432,113,5,,,food
05101,"5. Farinhas, féculas e massas",5.1 Farinhas,Farinha de mandioca,ativo,128,9,5,,,food
05102,"5. Farinhas, féculas e massas",5.1 Farinhas,Farinha de rosca,ativo,5,5,5,,,food
05103,"5. Farinhas, féculas e massas",5.1 Farinhas,Farinha de trigo,ativo,29,7,5,,,food
05104,"5. Farinhas, féculas e massas",5.1 Farinhas,Farinha vitaminada,ativo,66,16,5,,,food
05105,"5. Farinhas, féculas e massas",5.1 Farinhas,Outras,ativo,126,72,5,,,food
05201,"5. Farinhas, féculas e massas",5.2 Féculas,Amido de milho,ativo,26,5,5,,,food
05202,"5. Farinhas, féculas e massas",5.2 Féculas,Fubá de milho; Creme de milho,ativo,26,3,3,2008;2017,,food
05203,"5. Farinhas, féculas e massas",5.2 Féculas,Fécula de mandioca,ativo,33,3,3,2008;2017,,food
05204,"5. Farinhas, féculas e massas",5.2 Féculas,Flocos de milho,ativo,20,7,5,,,food
05206,"5. Farinhas, féculas e massas",5.2 Féculas,Flocos de cereal; Flocos de aveia; Flocos de outros cereais; Outras,ativo,95,52,5,,,food
05301,"5. Farinhas, féculas e massas",5.3 Massas,Macarrão com ovos; Macarrão não especificado; Macarrão sem ovos,ativo,223,33,5,,,food
05302,"5. Farinhas, féculas e massas",5.3 Massas,Massa de pastel,ativo,17,5,5,,,food
05303,"5. Farinhas, féculas e massas",5.3 Massas,Massa de pizza; Outras; Massa de lasanha,ativo,143,73,5,,,food
06101,6. Panificados,6.1 Pães,Pão de forma industrializado,ativo,145,16,5,,,food
06102,6. Panificados,6.1 Pães,Pão doce,ativo,336,9,5,,,food
06103,6. Panificados,6.1 Pães,Pão francês,ativo,218,13,5,,,food
06104,6. Panificados,6.1 Pães,Pão caseiro; Pão de forma de padaria; Pão de milho; Pão de queijo; Pão integral; Torrada; Outros,ativo,351,177,5,,,food
06201,6. Panificados,6.2 Bolos,Bolo de trigo; Outros bolos,ativo,272,112,5,,,food
06301,6. Panificados,"6.3 Biscoitos, roscas, etc.",Biscoito doce,ativo,563,26,5,,,food
06302,6. Panificados,"6.3 Biscoitos, roscas, etc.",Biscoito salgado,ativo,238,14,5,,,food
06303,6. Panificados,"6.3 Biscoitos, roscas, etc.",Biscoito não especificado; Rosca doce; Rosca não especificada; Rosca salgada; Outros,ativo,224,64,5,,,food
07101,7. Carnes,7.1 Carnes bovinas de primeira,Alcatra,ativo,46,7,5,,,food
07102,7. Carnes,7.1 Carnes bovinas de primeira,Carne moída,ativo,15,8,5,,,food
07103,7. Carnes,7.1 Carnes bovinas de primeira,Carne não especificada,ativo,78,24,5,,,food
07104,7. Carnes,7.1 Carnes bovinas de primeira,Chã-de-dentro,ativo,24,9,5,,,food
07105,7. Carnes,7.1 Carnes bovinas de primeira,Contrafilé,ativo,27,5,5,,,food
07106,7. Carnes,7.1 Carnes bovinas de primeira,Filé e filé mignon; Filé mignon,ativo,26,8,5,,,food
07107,7. Carnes,7.1 Carnes bovinas de primeira,Lagarto comum,ativo,54,12,5,,,food
07108,7. Carnes,7.1 Carnes bovinas de primeira,Lagarto redondo,ativo,25,4,4,2002,,food
07109,7. Carnes,7.1 Carnes bovinas de primeira,Patinho,ativo,24,6,5,,,food
07201,7. Carnes,7.2 Carnes bovinas de segunda,Acém,ativo,32,5,5,,,food
07203,7. Carnes,7.2 Carnes bovinas de segunda,Carne moída,ativo,26,8,4,2002,,food
07204,7. Carnes,7.2 Carnes bovinas de segunda,Costela,ativo,17,5,5,,,food
07205,7. Carnes,7.2 Carnes bovinas de segunda,Músculo,ativo,63,9,5,,,food
07206,7. Carnes,7.2 Carnes bovinas de segunda,Pá,ativo,39,5,5,,,food
07207,7. Carnes,7.2 Carnes bovinas de segunda,Peito,ativo,11,5,5,,,food
07208,7. Carnes,7.2 Carnes bovinas de segunda,Outros Capa de filé; Carne não especificada; Carne de hambúrger; Carne de sol; Carne moída não especificada; Mocotó; Outras; Carne-seca,ativo,298,121,5,,,food
07401,7. Carnes,7.4 Carnes suínas com osso e sem osso,Carré,ativo,23,5,5,,,food
07402,7. Carnes,7.4 Carnes suínas com osso e sem osso,Costela,ativo,23,15,5,,,food
07403,7. Carnes,7.4 Carnes suínas com osso e sem osso,Lombo,ativo,34,14,5,,,food
07404,7. Carnes,7.4 Carnes suínas com osso e sem osso,Pernil,ativo,9,6,5,,,food
