ano,cod_final,nome_final,descri_item,codigo,quadro,decisao,onda,motivo
1987,31007,Outros servicos etc,DESPESAS DO DOMICILIO PRINCIPAL COM SERVIÇOS PUBLICOS,700,7,,,
1987,31006,Agua e esgoto,AGUA E ESGOTO,701,7,,,
1987,31002,Energia eletrica,ENERGIA ELETRICA,702,7,,,
1987,31005,Gas domestico,GAS ENCANADO,703,7,,,
1987,31003,Telefonia,TELEFONE RESIDENCIAL,704,7,,,
1987,31005,Gas domestico,GAS DE BUJÃO,705,7,,,
1987,31006,Agua e esgoto,COMPRA D'AGUA,706,7,,,
1987,31006,Agua e esgoto,GARRAFÃO D'AGUA (ENTREGA DOMICILIAR),706,7,,,
1987,31007,Outros servicos etc,LENHA,707,7,,,
1987,31005,Gas domestico,GAS DE BUJÃO PARA ILUMINAÇÃO,708,7,,,
1987,31007,Outros servicos etc,QUEROSENE (COMBUSTIVEL),709,7,,,
1987,31007,Outros servicos etc,CARVÃO VEGETAL (COMBUSTIVEL),710,7,,,
1987,31007,Outros servicos etc,ALCOOL (COMBUSTIVEL),711,7,,,
1987,31007,Outros servicos etc,OLEO (COMBUSTIVEL DOMESTICO),712,7,,,
1987,31007,Outros servicos etc,AGREGADO,798,7,,,
1987,32001,Manutencao do lar,DESPESAS DO DOMICILIO PRINCIPAL COM HABITAÇÃO,800,8,,,
1987,31001,Aluguel,ALUGUEL DO IMOVEL,805,8,,,
1987,43002,Prestacao de imovel,PRESTAÇÃO DO IMOVEL,807,8,,,
1987,40006,Outras despesas diversas,ALUGUEL DE GARAGEM,810,8,,,
1987,40006,Outras despesas diversas,CONDOMINIO,812,8,,,
1987,32001,Manutencao do lar,IMPOSTO PREDIAL,814,8,,,
1987,31007,Outros servicos etc,DESPESAS DO DOMICILIO PRINCIPAL COM OUTROS SERVIÇOS DE UTILIDADE PUBLICA E HABITAÇÃO,900,9,,,
1987,42001,Imovel aquisicao,"AQUISIÇÃO DO IMOVEL A VISTA (VALOR PAGO, IMPOSTO DE TRANSMISSÃO, ETC.)",901,9,,,
1987,42001,Imovel aquisicao,IMPOSTO DE TRANSMISSÃO DO IMOVEL (AQUISIÇÃO A VISTA),901,9,,,
1987,42001,Imovel aquisicao,"AQUISIÇÃO DO IMOVEL A PRAZO (ENTRADA, PARCELAS, TAXAS, IMPOSTOS, ETC.)",902,9,,,
1987,42001,Imovel aquisicao,ENTRADA PARA AQUISIÇÃO DO IMOVEL A PRAZO,902,9,,,
1987,42001,Imovel aquisicao,IMPOSTOS PARA AQUISIÇÃO DO IMOVEL A PRAZO,902,9,,,
1987,42001,Imovel aquisicao,PARCELAS PARA AQUISIÇÃO DO IMOVEL A PRAZO,902,9,,,
1987,42001,Imovel aquisicao,TAXAS PARA AQUISIÇÃO DO IMOVEL A PRAZO,902,9,,,
1987,31001,Aluguel,CONTRATO DE LOCAÇÃO DO IMOVEL,903,9,,,
1987,31001,Aluguel,DEPOSITOS DE CONSERVAÇÃO DO IMOVEL,903,9,,,
1987,31001,Aluguel,DEPOSITOS DE LOCAÇÃO DO IMOVEL,903,9,,,
1987,31001,Aluguel,LOCAÇÃO DO IMOVEL,903,9,,,
1987,31007,Outros servicos etc,MUDANÇA,904,9,,,
1987,31007,Outros servicos etc,SEGURO CONTRA INCENDIO DO IMOVEL,905,9,,,
1987,31007,Outros servicos etc,SEGURO CONTRA ROUBO DO IMOVEL,905,9,,,
1987,31007,Outros servicos etc,"SEGUROS SOBRE O IMOVEL (INCENDIO, ROUBO, ETC.)",905,9,,,
1987,31007,Outros servicos etc,ASFALTAMENTO (TAXA),906,9,,,
1987,31007,Outros servicos etc,TAXA DE ASFALTAMENTO,906,9,,,
1987,31007,Outros servicos etc,TAXA DE COLETA DE LIXO,906,9,,,
1987,31007,Outros servicos etc,TAXA DE CONSERVAÇÃO URBANA,906,9,,,
1987,31007,Outros servicos etc,TAXA DE ILUMINAÇÃO PUBLICA,906,9,,,
1987,31007,Outros servicos etc,TAXA DE LIXO,906,9,,,
1987,31007,Outros servicos etc,TAXA DE PREVENÇÃO E EXTINÇÃO DE INCENDIO,906,9,,,
1987,31007,Outros servicos etc,TAXA DE SEGURANÇA,906,9,,,
1987,31007,Outros servicos etc,"TAXAS (COLETA DE LIXO, PREVENÇÃO E EXTINÇÃO DE INCENDIO, SEGURANÇA, ETC.)",906,9,,,
1987,31007,Outros servicos etc,TAXA DE OCUPAÇÃO DE IMOVEL,907,9,,,
1987,31007,Outros servicos etc,INSTALAÇÃO DE RELOGIO D'AGUA (TAXA),908,9,,,
1987,31007,Outros servicos etc,RELOGIO D'AGUA (TAXA DE INSTALAÇAO),908,9,,,
1987,31007,Outros servicos etc,TAXA DE INSTALAÇÃO DE RELOGIO D'AGUA,908,9,,,
1987,31007,Outros servicos etc,TAXA DE TRANSFERENCIA DE TELEFONE,909,9,,,
1987,31007,Outros servicos etc,TRANSFERENCIA DE TELEFONE (TAXA),909,9,,,
1987,31007,Outros servicos etc,INTERFONE (TAXA DE INSTALAÇÃO),910,9,,,
1987,31007,Outros servicos etc,"TAXA DE INSTALAÇÃO DE INTERFONE,TELEFONE",910,9,,,
1987,31007,Outros servicos etc,TELEFONE (TAXA DE INSTALAÇÃO),910,9,,,
1987,31007,Outros servicos etc,MANUTENÇÃO DE ELEVADOR,911,9,,,
1987,31007,Outros servicos etc,TAXA DE MANUTENÇÃO DE ELEVADOR,911,9,,,
1987,31007,Outros servicos etc,AGREGADO,996,9,,,
1987,42001,Imovel aquisicao,VALOR ESCRITURAL DO IMOVEL ADQUIRIDO EM 1ª LOCAÇÃO (A VISTA OU A PRAZO),997,9,,,
1987,31001,Aluguel,ALUGUEL ESTIMADO,998,9,,,
1987,42002,Imovel reforma,"DESPESAS COM CONSTRUÇÃO,REFORMA E PEQUENOS REPAROS DE IMOVEIS, E COM JARDINEIRO",1000,10,,,
1987,42002,Imovel reforma,AZULEJO E PISO,1001,10,,,
1987,42002,Imovel reforma,PISO,1001,10,,,
1987,42002,Imovel reforma,BANHEIRA,1002,10,,,
1987,42002,Imovel reforma,BIDE,1002,10,,,
1987,42002,Imovel reforma,CONJUNTO SANITARIO,1002,10,,,
1987,42002,Imovel reforma,"PIA, VASO, BIDE, BANHEIRA, SABONETEIRA E CONJUNTO SANITARIO",1002,10,,,
1987,42002,Imovel reforma,SABONETEIRA (NÃO PLASTICA),1002,10,,,
1987,42002,Imovel reforma,VASO SANITARIO,1002,10,,,
1987,42002,Imovel reforma,JANELA E PORTA,1003,10,,,
1987,42002,Imovel reforma,PORTA,1003,10,,,
1987,42002,Imovel reforma,MADEIRA E TACO,1004,10,,,
1987,42002,Imovel reforma,TACO,1004,10,,,
1987,42002,Imovel reforma,CIMENTO,1005,10,,,
1987,42002,Imovel reforma,CIMENTO BRANCO,1005,10,,,
1987,42002,Imovel reforma,TIJOLO,1006,10,,,
1987,42002,Imovel reforma,VIDRO,1007,10,,,
