cod_final,n1,n2,nome,qualidade,n_produtos,anos_cobertos,anos_ausentes,nota,dominio
01101,1. Cereais e leguminosas,1.1 Cereais,Arroz integral,Alta,169,5,,,food
01102,1. Cereais e leguminosas,1.1 Cereais,Milho seco,Alta,126,5,,,food
01103,1. Cereais e leguminosas,1.1 Cereais,Outros,Alta,129,5,,,food
01201,1. Cereais e leguminosas,1.2 Leguminosas,Feijão-fradinho,Alta,205,5,,,food
01202,1. Cereais e leguminosas,1.2 Leguminosas,Feijão-jalo,Baixa,15,3,"2008, 2017","Ausente em 2008, 2017; verificar se incorporado a outra categoria",food
01203,1. Cereais e leguminosas,1.2 Leguminosas,Feijão-manteiga,Alta,41,5,,,food
01204,1. Cereais e leguminosas,1.2 Leguminosas,Feijão-mulatinho,Alta,72,5,,,food
01205,1. Cereais e leguminosas,1.2 Leguminosas,Feijão-preto,Alta,74,5,,,food
01206,1. Cereais e leguminosas,1.2 Leguminosas,Feijão-rajado,Alta,64,5,,,food
01207,1. Cereais e leguminosas,1.2 Leguminosas,Feijão-roxo,Alta,43,5,,,food
01208,1. Cereais e leguminosas,1.2 Leguminosas,Outros feijões,Alta,169,5,,,food
01209,1. Cereais e leguminosas,1.2 Leguminosas,Outras,Média,37,4,2002,Ausente em 2002; verificar se incorporado a outra categoria,food
02101,2. Hortaliças,2.1 Hortaliças folhosas e florais,Agrião,Alta,34,5,,,food
02102,2. Hortaliças,2.1 Hortaliças folhosas e florais,Alface,Alta,69,5,,,food
02103,2. Hortaliças,2.1 Hortaliças folhosas e florais,Cheiro-verde,Alta,38,5,,,food
02104,2. Hortaliças,2.1 Hortaliças folhosas e florais,Couve,Alta,57,5,,,food
02105,2. Hortaliças,2.1 Hortaliças folhosas e florais,Couve-flor,Alta,7,5,,,food
02106,2. Hortaliças,2.1 Hortaliças folhosas e florais,Repolho fresco,Alta,26,5,,,food
02107,2. Hortaliças,2.1 Hortaliças folhosas e florais,Outras,Alta,452,5,,,food
02201,2. Hortaliças,2.2 Hortaliças frutosas,Abóbora comum,Alta,186,5,,,food
02202,2. Hortaliças,2.2 Hortaliças frutosas,Abobrinha,Alta,36,5,,,food
02203,2. Hortaliças,2.2 Hortaliças frutosas,Berinjela,Alta,12,5,,,food
