onda,id,data,tipo,estrutural,celulas,de,para,movimentos,confianca,regras_ref,evidencia,motivo_ia,veredito,motivo_humano,revisor,revoga,pr
2026-09-11_arthurwelle_cirurgia,2026-09-11_arthurwelle_cirurgia#p01,2026-09-11,REGRA,true,,,,,ALTA,R1;R2,Abas 2002 e 2008 da planilha (códigos de 7 dígitos); particao.md e particao_simulada.md da onda.,"Sem esta exceção, implante de cabelo liga o bloco de tratamentos ao de cirurgia e a R1 obriga a unir 36005 e 36006. A junção existe só em 2002 e o próprio IBGE a desfez em 2008, então não é uma medida da POF: é um agrupamento pontual.",aceita,,arthur,,
2026-09-11_arthurwelle_cirurgia,2026-09-11_arthurwelle_cirurgia#p02,2026-09-11,REGRA,true,,,,,ALTA,R1;R2,"Abas 2002, 2008 e 2017; particao.md.","Sem esta exceção, o instrumentador liga enfermagem a cirurgia e, pela cadeia de 1987:4215 (enfermagem junto de outros tratamentos), une também tratamento ambulatorial. A junção de 2002 é agrupamento por profissão e está desfeita em 2008 e 2017.",aceita,,arthur,,
2026-09-11_arthurwelle_cirurgia,2026-09-11_arthurwelle_cirurgia#p03,2026-09-11,REGRA,true,,,,,ALTA,R1;R2,Abas por ano; particao.md.,"Sem esta exceção, o nutricionista liga consulta médica ao bloco de tratamentos e a R1 obriga a unir 36004 e 36005. Nutricionista não é médico e nos demais anos está com os tratamentos.",aceita,,arthur,,
2026-09-11_arthurwelle_cirurgia,2026-09-11_arthurwelle_cirurgia#p04,2026-09-11,REGRA,true,,,,,ALTA,R1;R2,"Abas 2002, 2008 e 2017; particao.md.","Sem esta exceção, o exame ginecológico liga consulta médica a exames diversos e a R1 obriga a unir 36004 e 36008. A junção é de 2002 e está desfeita nas edições seguintes.",aceita,,arthur,,
2026-09-11_arthurwelle_cirurgia,2026-09-11_arthurwelle_cirurgia#p05,2026-09-11,MOVER,false,2017:42026,36005,36006,2017:42026>36006,ALTA,R4;R6,"1987:4205, 1995:4205, 2002:42005 e 2008:42005 estão em 36006. A tabela compara2008-17 liga 4200501 (2008) a 4202601 (2017). Os tradutores de Contas Nacionais de 2003 e 2009 classificam os mesmos itens como saúde mercantil/privada. A planilha de melhorias diz: ""deveriam ser 36006 - serviços cirurgia"".","É a única célula de cirurgia de 2017 e está em tratamento ambulatorial, o que deixa 36006 vazio em 2017 e quebra a série (R4). Todos os anos anteriores têm a célula equivalente em 36006.",aceita,,arthur,,
2026-09-11_arthurwelle_cirurgia,2026-09-11_arthurwelle_cirurgia#p06,2026-09-11,MOVER,false,1987:4220;1995:4220;2002:42020,36005,36006,1987:4220;1995:4220;2002:42020>36006,ALTA,R1,"Em 2008 (4200510/4200511) e em 2017 (4202607/4202608) o raio laser está dentro da célula de cirurgia, inseparável dela. Em 1987, 1995 e 2002 tem código próprio e está em tratamento ambulatorial.","A distinção laser x cirurgia não é observável em 2008 nem em 2017, então não pode existir na harmonização (R1). Diferente das quatro exceções, esta junção se repete em duas edições: é como a POF passou a medir, não um acidente de 2002.",aceita,,arthur,,
2026-09-11_arthurwelle_cirurgia,2026-09-11_arthurwelle_cirurgia#p07,2026-09-11,MOVER,false,1987:4223;1995:4223;2002:42023,36009,36006,1987:4223;1995:4223;2002:42023>36006,ALTA,R1,"Em 2008 a fotografia relativa a cirurgia é o item 4200512, dentro da célula de cirurgia. Em 1987, 1995 e 2002 tem código próprio e está em material de tratamento (36009).","Mesma situação do laser: em 2008 não dá para separar fotografia de cirurgia, então a distinção não pode existir na harmonização. Em 2017 o item deixa de aparecer.",aceita,,arthur,,
2026-09-11_arthurwelle_cirurgia,2026-09-11_arthurwelle_cirurgia#p08,2026-09-11,MOVER,false,1987:4216;1995:4216;2002:42016;2017:42081,36010,36005,1987:4216;1995:4216;2002:42016;2017:42081>36005,ALTA,R1;R6,"Em 2008:42025 o IBGE junta ENFERMEIRA, SERVICOS DE ENFERMAGEM e TRATAMENTO DE ENFERMAGEM numa célula só, classificada em 36005; em 1987:4215 o tratamento de enfermagem também está com os outros tratamentos. As células de enfermeira de 1987, 1995, 2002 e 2017 estão em 36010 (outras assistências).","Enfermeira e tratamento de enfermagem são inseparáveis em 2008, então a harmonização não pode separá-los (R1). O grupo de destino é o dos tratamentos, onde o conceito já está na maior parte dos anos.",aceita,,arthur,,
2026-09-11_arthurwelle_cirurgia,2026-09-11_arthurwelle_cirurgia#p09,2026-09-11,MOVER,false,2017:42013;2017:42014;2017:42015;2017:42016;2017:42093,36004,36005,2017:42013;2017:42014;2017:42015;2017:42016;2017:42093>36005,ALTA,R6;R1,"Em 2002 (42051, 42052, 42053) e em 2008 (42030, 42031, 42032, 42028) tratamento psicológico, fisioterápico, fonoaudiológico e dietético estão em 36005; em 1987:4215 e 1995:4215 estão no mesmo código de outros tratamentos. As células de 2017 têm itens ""consulta e tratamento com..."", e estão em 36004.",São profissionais não médicos cujo atendimento a POF trata como tratamento em todos os anos anteriores. Mantê-los em consulta médica quebra a série dos dois grupos em 2017.,aceita,,arthur,,
2026-09-11_arthurwelle_cirurgia,2026-09-11_arthurwelle_cirurgia#p10,2026-09-11,MOVER,false,2017:42028;2017:42029;2017:42030;2017:42078,36005;36010,36009,2017:42028;2017:42029;2017:42030;2017:42078>36009,ALTA,R6,"1987:4211, 1995:4211/4227/4228, 2002:42011/42027/42028 e 2008:42039/42040 classificam óculos, armação, lentes e lente de contato em 36009. Em 2017 as três células de óculos foram para 36010 e a lente de contato para 36005.","Mesmo produto, mesmo grupo nos quatro anos anteriores; a mudança em 2017 não tem justificativa nas classificações originais.",aceita,,arthur,,
