Ano,Quadro_H,Codigo,Descri_Item,Cod_harmo
1987,7,700,DESPESAS DO DOMICILIO PRINCIPAL COM SERVIÇOS PUBLICOS,31007
1987,7,701,AGUA E ESGOTO,31006
1987,7,702,ENERGIA ELETRICA,31002
1987,7,703,GAS ENCANADO,31005
1987,7,704,TELEFONE RESIDENCIAL,31003
1987,7,705,GAS DE BUJÃO,31005
1987,7,706,COMPRA D'AGUA,31006
1987,7,706,GARRAFÃO D'AGUA (ENTREGA DOMICILIAR),31006
1987,7,707,LENHA,31007
1987,7,708,GAS DE BUJÃO PARA ILUMINAÇÃO,31005
1987,7,709,QUEROSENE (COMBUSTIVEL),31007
1987,7,710,CARVÃO VEGETAL (COMBUSTIVEL),31007
1987,7,711,ALCOOL (COMBUSTIVEL),31007
1987,7,712,OLEO (COMBUSTIVEL DOMESTICO),31007
1987,7,798,AGREGADO,31007
1987,8,800,DESPESAS DO DOMICILIO PRINCIPAL COM HABITAÇÃO,32001
1987,8,805,ALUGUEL DO IMOVEL,31001
1987,8,807,PRESTAÇÃO DO IMOVEL,43002
1987,8,810,ALUGUEL DE GARAGEM,40006
1987,8,812,CONDOMINIO,40006
1987,8,814,IMPOSTO PREDIAL,32001
1987,9,900,DESPESAS DO DOMICILIO PRINCIPAL COM OUTROS SERVIÇOS DE UTILIDADE PUBLICA E HABITAÇÃO,31007
1987,9,901,"AQUISIÇÃO DO IMOVEL A VISTA (VALOR PAGO, IMPOSTO DE TRANSMISSÃO, ETC.)",42001
1987,9,901,IMPOSTO DE TRANSMISSÃO DO IMOVEL (AQUISIÇÃO A VISTA),42001
1987,9,902,"AQUISIÇÃO DO IMOVEL A PRAZO (ENTRADA, PARCELAS, TAXAS, IMPOSTOS, ETC.)",42001
1987,9,902,ENTRADA PARA AQUISIÇÃO DO IMOVEL A PRAZO,42001
1987,9,902,IMPOSTOS PARA AQUISIÇÃO DO IMOVEL A PRAZO,42001
1987,9,902,PARCELAS PARA AQUISIÇÃO DO IMOVEL A PRAZO,42001
1987,9,902,TAXAS PARA AQUISIÇÃO DO IMOVEL A PRAZO,42001
1987,9,903,CONTRATO DE LOCAÇÃO DO IMOVEL,31001
1987,9,903,DEPOSITOS DE CONSERVAÇÃO DO IMOVEL,31001
1987,9,903,DEPOSITOS DE LOCAÇÃO DO IMOVEL,31001
1987,9,903,LOCAÇÃO DO IMOVEL,31001
1987,9,904,MUDANÇA,31007
1987,9,905,SEGURO CONTRA INCENDIO DO IMOVEL,31007
1987,9,905,SEGURO CONTRA ROUBO DO IMOVEL,31007
1987,9,905,"SEGUROS SOBRE O IMOVEL (INCENDIO, ROUBO, ETC.)",31007
1987,9,906,ASFALTAMENTO (TAXA),31007
1987,9,906,TAXA DE ASFALTAMENTO,31007
1987,9,906,TAXA DE COLETA DE LIXO,31007
1987,9,906,TAXA DE CONSERVAÇÃO URBANA,31007
1987,9,906,TAXA DE ILUMINAÇÃO PUBLICA,31007
1987,9,906,TAXA DE LIXO,31007
1987,9,906,TAXA DE PREVENÇÃO E EXTINÇÃO DE INCENDIO,31007
1987,9,906,TAXA DE SEGURANÇA,31007
1987,9,906,"TAXAS (COLETA DE LIXO, PREVENÇÃO E EXTINÇÃO DE INCENDIO, SEGURANÇA, ETC.)",31007
1987,9,907,TAXA DE OCUPAÇÃO DE IMOVEL,31007
1987,9,908,INSTALAÇÃO DE RELOGIO D'AGUA (TAXA),31007
