Cod_harmo,nome,nivel1,nivel2,status,criado_em,extinto_em,substituido_por,nome_original
01101,Arroz integral; Arroz não especificado; Arroz polido,1. Cereais e leguminosas,1.1 Cereais,ativo,base,,,x.x.x Arroz integralx.x.x Arroz não especificadox.x.x Arroz polido
01102,Milho seco; Milho em grão; Milho verde em conserva; Milho verde em espiga,1. Cereais e leguminosas,1.1 Cereais,ativo,base,,,x.x.x Milho secox.x.x Milho em grãox.x.x Milho verde em conservax.x.x Milho verde em espiga
01103,Outros,1. Cereais e leguminosas,1.1 Cereais,ativo,base,,,x.x.x Outros
01201,Feijão-fradinho,1. Cereais e leguminosas,1.2 Leguminosas,ativo,base,,,x.x.x Feijão-fradinho
01202,Feijão-jalo,1. Cereais e leguminosas,1.2 Leguminosas,ativo,base,,,x.x.x Feijão-jalo
01203,Feijão-manteiga,1. Cereais e leguminosas,1.2 Leguminosas,ativo,base,,,x.x.x Feijão-manteiga
01204,Feijão-mulatinho,1. Cereais e leguminosas,1.2 Leguminosas,ativo,base,,,x.x.x Feijão-mulatinho
01205,Feijão-preto,1. Cereais e leguminosas,1.2 Leguminosas,ativo,base,,,x.x.x Feijão-preto
01206,Feijão-rajado,1. Cereais e leguminosas,1.2 Leguminosas,ativo,base,,,x.x.x Feijão-rajado
01207,Feijão-roxo,1. Cereais e leguminosas,1.2 Leguminosas,ativo,base,,,x.x.x Feijão-roxo
01208,Outros feijões,1. Cereais e leguminosas,1.2 Leguminosas,ativo,base,,,x.x.x Outros feijões
01209,Outras,1. Cereais e leguminosas,1.2 Leguminosas,ativo,base,,,x.x.x Outras
02101,Agrião,2. Hortaliças,2.1 Hortaliças folhosas e florais,ativo,base,,,x.x.x Agrião
02102,Alface,2. Hortaliças,2.1 Hortaliças folhosas e florais,ativo,base,,,x.x.x Alface
02103,Cheiro-verde,2. Hortaliças,2.1 Hortaliças folhosas e florais,ativo,base,,,x.x.x Cheiro-verde
02104,Couve; Couve-brócolis,2. Hortaliças,2.1 Hortaliças folhosas e florais,ativo,base,,,x.x.x Couvex.x.x Couve-brócolis
02105,Couve-flor,2. Hortaliças,2.1 Hortaliças folhosas e florais,ativo,base,,,x.x.x Couve-flor
02106,Repolho fresco; Repolho,2. Hortaliças,2.1 Hortaliças folhosas e florais,ativo,base,,,x.x.x Repolho frescox.x.x Repolho
02107,Outras; Acelga,2. Hortaliças,2.1 Hortaliças folhosas e florais,ativo,base,,,x.x.x Outrasx.x.x Acelga
02201,Abóbora comum; Abóbora,2. Hortaliças,2.2 Hortaliças frutosas,ativo,base,,,x.x.x Abóbora comumx.x.x Abóbora
02202,Abobrinha,2. Hortaliças,2.2 Hortaliças frutosas,ativo,base,,,x.x.x Abobrinha
02203,Berinjela,2. Hortaliças,2.2 Hortaliças frutosas,ativo,base,,,x.x.x Berinjela
02204,Cebola; Cebola fresca,2. Hortaliças,2.2 Hortaliças frutosas,ativo,base,,,x.x.x Cebolax.x.x Cebola fresca
02205,Chuchu,2. Hortaliças,2.2 Hortaliças frutosas,ativo,base,,,x.x.x Chuchu
02206,Jiló,2. Hortaliças,2.2 Hortaliças frutosas,ativo,base,,,x.x.x Jiló
02207,Pepino fresco,2. Hortaliças,2.2 Hortaliças frutosas,ativo,base,,,x.x.x Pepino fresco
