0,1,2,3,4,5
"Tradutor POF2002-2003 - Contas Nacionais, com produtos para consumo final das famílias",,,,,https://github.com/rodrigoesborges/pofesferas/blob/master/tradutores/Tradu_POF_2003xContas-rearrumado-na-mao.xls?raw=true
Cod Pof,Descrição pof,CodAdapt,Descrição Contas,Cod Contas 110,fonte
0700101,AGUA E ESGOTO (DOMICILIO PRINCIPAL),3500,"Eletricidade e gás, água, esgoto e limpeza urbana",040101,
0700102,AGUA E ESGOTO (M3),3500,"Eletricidade e gás, água, esgoto e limpeza urbana",040101,
0700201,ENERGIA ELETRICA (DOMICILIO PRINCIPAL),3500,"Eletricidade e gás, água, esgoto e limpeza urbana",040101,
0700202,ENERGIA ELETRICA (KWH),3500,"Eletricidade e gás, água, esgoto e limpeza urbana",040101,
0700301,GAS ENCANADO (DOMICILIO PRINCIPAL),3500,"Eletricidade e gás, água, esgoto e limpeza urbana",040101,
0700302,GAS ENCANADO (M3),3500,"Eletricidade e gás, água, esgoto e limpeza urbana",040101,
0700401,TELEFONE RESIDENCIAL (GASTO TOTAL)(DOMICILIO PRINCIPAL),6100,Serviços de informação,080101,
0700402,TELEFONE RESIDENCIAL (GASTO TOTAL)(PULSOS),6100,Serviços de informação,080101,
0700501,GAS DE BUJAO (DOMICILIO PRINCIPAL),1991,Gás liquefeito de petróleo,030901,
0700502,GAS DE BUJAO (KG),1991,Gás liquefeito de petróleo,030901,
0700503,GAS DE BUJAO,1991,Gás liquefeito de petróleo,030901,
0700601,AQUISICAO DE AGUA (DOMICILIO PRINCIPAL),1100,Bebidas,030119,
0700602,GARRAFAO DE AGUA (DOMICILIO PRINCIPAL),1100,Bebidas,030119,
0700603,AQUISICAO DE AGUA (LITRO),1100,Bebidas,030119,
0700701,LENHA (COMBUSTIVEL DOMESTICO) (DOMICILIO PRINCIPAL),0280,Produtos da exploração florestal e da silvicultura,010112,
0700702,LENHA (M3),0280,Produtos da exploração florestal e da silvicultura,010112,
0700801,GAS DE BUJAO PARA ILUMINACAO (DOMICILIO PRINCIPAL),1991,Gás liquefeito de petróleo,030901,
0700901,QUEROSENE (COMBUSTIVEL DOMESTICO) (DOMICILIO PRINCIPAL),1991,Outros produtos do refino de petróleo e coque,030906,
0700902,QUEROSENE(COMBUSTIVEL DOMESTICO) (LITRO),1991,Outros produtos do refino de petróleo e coque,030906,
0701001,CARVAO (COMBUSTIVEL DOMESTICO) (DOMICILIO PRINCIPAL),2091,Produtos químicos orgânicos,031102,
0701002,CARVAO (KG),2091,Produtos químicos orgânicos,031102,
0701101,ALCOOL (COMBUSTIVEL DOMESTICO) (DOMICILIO PRINCIPAL),1992,Álcool,031001,
0701201,OLEO DIESEL (COMBUSTIVEL DOMESTICO) (DOMICILIO PRINCIPAL),1991,Óleo diesel,030905,
0701301,TELEFONE RESIDENCIAL (INTERURBANO)(DOMICILIO PRINCIPAL),6100,Serviços de informação,080101,
0701302,TELEFONE RESIDENCIAL (INTERURBANO),6100,Serviços de informação,080101,
0701401,TELEFONE RESIDENCIAL (INTERNACIONAL) (DOMICILIO PRINCIPAL),6100,Serviços de informação,080101,
0701402,TELEFONE RESIDENCIAL (INTERNACIONAL),6100,Serviços de informação,080101,
0701601,"ACESSO A INTERNET (PROVEDOR,A CABO,COMUNICACAO VIA SATELITE)(DOMICILIO PRINCIPAL",6100,Serviços de informação,080101,
0701602,ACESSO A INTERNET (DOMICILIO PRINCIPAL),6100,Serviços de informação,080101,
0701603,TAXA DE INTERNET (DOMICILIO PRINCIPAL),6100,Serviços de informação,080101,
0701604,PROVEDOR DE INTERNET (DOMICILIO PRINCIPAL),6100,Serviços de informação,080101,
0701607,"ACESSO INTERNET (PROVEDOR, A CABO, COMUN. VIA SATELITE)",6100,Serviços de informação,080101,
0701701,TV (ASSINATURA) (DOMICILIO PRINCIPAL),5980,Serviços de informação,080101,
0701702,MENSALIDADE DE TV (ASSINATURA) (DOMICILIO PRINCIPAL),5980,Serviços de informação,080101,
0701703,ASSINATURA DE TV (DOMICILIO PRINCIPAL),5980,Serviços de informação,080101,
0701704,TV (ASSINATURA),5980,Serviços de informação,080101,
0701801,GASOLINA (COMBUSTIVEL DOMESTICO) (DOMICILIO PRINCIPAL),1991,Gasoálcool,030903,
0701802,GASOLINA (LITRO),1991,Gasoálcool,030903,
0701901,RECARGA DE BATERIA (ILUMINACAO DOMICILIAR),7380,Serviços de manutenção e reparação,110101,
0702001,PO DE SERRA,1600,Produtos de madeira - exclusive móveis,030601,
0800101,AZULEJO E PISO,9900,FBKF,FBKF,
0800102,PISO,9900,FBKF,FBKF,
0800104,LAJOTA,9900,FBKF,FBKF,
0800201,"APARELHOS SANITARIOS (PIA,VASO,BIDE,BANHEIRA,ETC.)",9900,FBKF,FBKF,
0800202,BIDE,9900,FBKF,FBKF,
0800203,CONJUNTO SANITARIO,9900,FBKF,FBKF,
0800204,VASO SANITARIO,9900,FBKF,FBKF,
0800205,BANHEIRA,9900,FBKF,FBKF,
0800208,PIA,9900,FBKF,FBKF,
0800209,"APARELHOS SANITARIOS (PIA, VASO, BIDE, BANHEIRA, ETC)",9900,FBKF,FBKF,
0800301,JANELA E PORTA,9900,FBKF,FBKF,
0800302,PORTA,9900,FBKF,FBKF,
0800401,MADEIRA E TACO,9900,FBKF,FBKF,
0800403,CAIBRO,9900,FBKF,FBKF,
0800404,RIPA,1600,Produtos de madeira - exclusive móveis,030601,
0800405,SARRAFO,9900,FBKF,FBKF,
0800501,CIMENTO,4180,Cimento,031901,
0800502,CIMENTO BRANCO,4180,Cimento,031901,
0800503,CIMENTCOLA OU CIMENTOCOLA,4180,Cimento,031901,
0800601,TIJOLO,9900,FBKF,FBKF,
0800602,BLOCO DE CERAMICA,9900,FBKF,FBKF,
0800701,VIDRO,2300,Outros produtos de minerais não-metálicos,032001,
0800801,TINTA,2092,"Tintas, vernizes, esmaltes e lacas",031601,
0800802,VERNIZ,2092,"Tintas, vernizes, esmaltes e lacas",031601,
0800901,MATERIAL DE PINTURA EM GERAL,9900,FBKF,FBKF,
0800902,MASSA CORRIDA PARA PAREDE,9900,FBKF,FBKF,
0800903,CAL,2300,Outros produtos de minerais não-metálicos,032001,
0800904,CAL VIRGEM,2300,Outros produtos de minerais não-metálicos,032001,
0800905,ROLO DE PINTURA,9900,FBKF,FBKF,
0800906,LIXA DE MADEIRA,9900,FBKF,FBKF,
0801001,"TORNEIRA,CANO E MATERIAL HIDRAULICO EM GERAL",9900,FBKF,FBKF,
0801002,CANO,9900,FBKF,FBKF,
0801003,MATERIAL HIDRAULICO,9900,FBKF,FBKF,
0801004,"TORNEIRA, CANO E MATERIAL HIDRAULICO EM GERAL",9900,FBKF,FBKF,
0801101,"FERRAGENS (FECHADURA,FERRO,ARAME,PREGO,ETC.)",9900,FBKF,FBKF,
0801102,FECHADURA,2500,Produtos de metal - exclusive máquinas e equipamento,032301,
0801103,FERRO,9900,FBKF,FBKF,
0801104,ARAME,9900,FBKF,FBKF,
0801105,PREGO,9900,FBKF,FBKF,
0801106,CADEADO,2500,Produtos de metal - exclusive máquinas e equipamento,032301,
0801107,RALO DE ESGOTAMENTO DE AGUA,9900,FBKF,FBKF,
0801108,TELA DE ARAME,9900,FBKF,FBKF,
0801109,TRILHO METALICO,9900,FBKF,FBKF,
0801110,ROLAMENTO PARA PORTA,9900,FBKF,FBKF,
0801111,"FERRAGENS(FECHADURA, FERRO, ARAME, PREGO, ETC)",9900,FBKF,FBKF,
0801201,FIO E MATERIAL ELETRICO EM GERAL,9900,FBKF,FBKF,
0801202,MATERIAL PARA INSTALACAO ELETRICA,9900,FBKF,FBKF,
0801203,FIO PARA INSTALACAO ELETRICA,2700,"Máquinas, aparelhos e materiais elétricos",032701,
0801301,"MAO-DE-OBRA (PEDREIRO,MARCENEIRO,ELETRICISTA,PINTOR,ETC.)",9900,FBKF,FBKF,
0801302,PEDREIRO,9900,FBKF,FBKF,
0801303,MARCENEIRO,9900,FBKF,FBKF,
0801304,ELETRICISTA,9900,FBKF,FBKF,
0801305,PINTOR,9900,FBKF,FBKF,
0801306,"MAO DE OBRA(PEDREIRO,MARCENEIRO,ELETRICISTA,PINTOR,ETC.)",9900,FBKF,FBKF,
0801307,LIMPEZA DE FOSSA,9900,FBKF,FBKF,
0801401,"DEDETIZACAO,DESRATIZACAO,DESINSETIZACAO,ETC.",9900,FBKF,FBKF,
0801403,EXTERMINIO DE INSETOS,9900,FBKF,FBKF,
0801501,"VITRIFICACAO (SINTECO,POLIURETANO,ETC.)",9900,FBKF,FBKF,
0801502,SINTECO,9900,FBKF,FBKF,
0801601,REFORMA OU OBRA POR EMPREITADA,9900,FBKF,FBKF,
0801602,CONSTRUCAO POR EMPREITADA,9900,FBKF,FBKF,
0801604,EMPREITADA,9900,FBKF,FBKF,
0801606,TERRAPLANAGEM (EMPREITADA),9900,FBKF,FBKF,
0801801,"ARTIGOS DE JARDINAGEM (PLANTA,TERRA,SEMENTE,XAXIM,ETC.)",0191,Outros produtos e serviços da lavoura,010106,
0801802,PLANTAS NATURAIS,0191,Outros produtos e serviços da lavoura,010106,
0801803,TERRA VEGETAL,0191,Outros produtos e serviços da lavoura,010106,
