0,1,2,3
Tradutor POF 2008-2009 - Consumo final das famílias/Contas Nacionais,,,
Produto POF,Descrição POF,Produto Contas Nacionais,Descrição Contas Nacionais
0600101,AGUA E ESGOTO (M3),36801,"Água, esgoto, reciclagem e gestão de resíduos"
0600201,ENERGIA ELETRICA (KWH),35001,"Eletricidade, gás e outras utilidades"
0600301,GAS ENCANADO (M3),35001,"Eletricidade, gás e outras utilidades"
0600401,TELEFONE RESIDENCIAL,61001,"Telecomunicações, TV por assinatura e outros serv. relacionados"
0600501,"ACESSO A INTERNET (PROVEDOR, A CABO, COMUNICACAO VIA SATELITE, ETC.)",61001,"Telecomunicações, TV por assinatura e outros serv. relacionados"
0600502,INTERNET BANDA LARGA,61001,"Telecomunicações, TV por assinatura e outros serv. relacionados"
0600503,PROVEDOR DE ACESSO A INTERNET DISCADA,61001,"Telecomunicações, TV por assinatura e outros serv. relacionados"
0600504,INTERNET SEM FIO,61001,"Telecomunicações, TV por assinatura e outros serv. relacionados"
0600505,INTERNET VIA SATELITE,61001,"Telecomunicações, TV por assinatura e outros serv. relacionados"
0600506,INTERNET VIA RADIO,61001,"Telecomunicações, TV por assinatura e outros serv. relacionados"
0600701,TV POR ASSINATURA (MENSALIDADE/PACOTE),61001,"Telecomunicações, TV por assinatura e outros serv. relacionados"
0600801,"TELEFONE FIXO, CELULAR E INTERNET (PACOTE)",61001,"Telecomunicações, TV por assinatura e outros serv. relacionados"
0600901,TELEFONE FIXO E INTERNET (PACOTE),61001,"Telecomunicações, TV por assinatura e outros serv. relacionados"
0601001,TV POR ASSINATURA E INTERNET (PACOTE),61001,"Telecomunicações, TV por assinatura e outros serv. relacionados"
0601101,TELEFONE FIXO E CELULAR (PACOTE),61001,"Telecomunicações, TV por assinatura e outros serv. relacionados"
0601301,INTERNET E CELULAR (PACOTE),61001,"Telecomunicações, TV por assinatura e outros serv. relacionados"
0601401,"TELEFONE FIXO, INTERNET E TV POR ASSINATURA (PACOTE)",61001,"Telecomunicações, TV por assinatura e outros serv. relacionados"
0601501,TELEFONE FIXO E TV POR ASSINATURA (PACOTE),61001,"Telecomunicações, TV por assinatura e outros serv. relacionados"
0699901,AGREGADO,61001,"Telecomunicações, TV por assinatura e outros serv. relacionados"
0700101,GAS DE BOTIJAO (COMBUSTIVEL DOMESTICO),19916,Outros produtos do refino do petróleo
