0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,,,CADASTRO DE PRODUTOS DA POF 2002-2003,,,,,,,,,,,,
,,,( CÓDIGO = 3 DÍGITOS + 2 DÍGITOS REFERENTE AO SEQUENCIAL DO CÓDIGO ),,,,101,,,,,,,,
,,,(GRUPO = 2 DÍGITOS APENAS PARA CÓDIGOS DA CADERNETA DE DESPESA COLETIVA - POF3),,,,,,"Correção, tem um zero a esqueda não usado na realidade dos dados",,,,,,
,,,,,,,,5digitos,,5digitos,,,,,
Ano,Quadro_H,Desc_Quadro,QUADRO,GRUPO,CÓDIGO,PRODUTO,7digitos,Codigo,Codigo,Codigo5dig,ProcV17,zoom,MelhorChute,Cod_harmo,
2002,07,Quadro 7 - Despesas com Serviços e Taxas do Domicílio,7,,101,AGUA E ESGOTO (DOMICILIO PRINCIPAL),0700101,07001,0700101,07001,,31006,31006,31006,Agua_e_esgoto
2002,07,Quadro 7 - Despesas com Serviços e Taxas do Domicílio,7,,102,AGUA E ESGOTO (M3),0700102,07001,0700102,07001,,31006,31006,31006,Agua_e_esgoto
2002,07,Quadro 7 - Despesas com Serviços e Taxas do Domicílio,7,,201,ENERGIA ELETRICA (DOMICILIO PRINCIPAL),0700201,07002,0700201,07002,,31002,31002,31002,Energia_eletrica
2002,07,Quadro 7 - Despesas com Serviços e Taxas do Domicílio,7,,202,ENERGIA ELETRICA (KWH),0700202,07002,0700202,07002,,31002,31002,31002,Energia_eletrica
2002,07,Quadro 7 - Despesas com Serviços e Taxas do Domicílio,7,,301,GAS ENCANADO (DOMICILIO PRINCIPAL),0700301,07003,0700301,07003,,31005,31005,31005,Gas_domestico
2002,07,Quadro 7 - Despesas com Serviços e Taxas do Domicílio,7,,302,GAS ENCANADO (M3),0700302,07003,0700302,07003,,31005,31005,31005,Gas_domestico
2002,07,Quadro 7 - Despesas com Serviços e Taxas do Domicílio,7,,401,TELEFONE RESIDENCIAL (GASTO TOTAL)(DOMICILIO PRINCIPAL),0700401,07004,0700401,07004,,31003,31003,31003,Telefone_fixo
2002,07,Quadro 7 - Despesas com Serviços e Taxas do Domicílio,7,,402,TELEFONE RESIDENCIAL (GASTO TOTAL)(PULSOS),0700402,07004,0700402,07004,,31003,31003,31003,Telefone_fixo
2002,07,Quadro 7 - Despesas com Serviços e Taxas do Domicílio,7,,501,GAS DE BUJAO (DOMICILIO PRINCIPAL),0700501,07005,0700501,07005,,31005,31005,31005,Gas_domestico
2002,07,Quadro 7 - Despesas com Serviços e Taxas do Domicílio,7,,502,GAS DE BUJAO (KG),0700502,07005,0700502,07005,,31005,31005,31005,Gas_domestico
