0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,,,CADASTRO DE PRODUTOS DA POF 2008-2009,,,,,,,,,,,,,
,,,( CÓDIGO = 3 DÍGITOS + 2 DÍGITOS REFERENTE AO SEQUENCIAL DO CÓDIGO ),,,,,,,,,,,,,
,,,(GRUPO = 2 DÍGITOS APENAS PARA CÓDIGOS DA CADERNETA DE DESPESA COLETIVA - POF3),,,,,,,,,,,,,
Ano,Quadro_H,Desc_Quadro,QUADRO,GRUPO,CÓDIGO,PRODUTO,7digitos,Codigo,ProcV17,zoom,ProcV02,Descrição anterior,MelhorChute,Descrição anterior,Harmo,
2008,06,Quadro 6 -   Serviços e taxas do domicílio principal,06,,00101,AGUA E ESGOTO (M3),0600101,06001,,,31006,Agua_e_esgoto,,,31006,Agua_e_esgoto
2008,06,Quadro 6 -   Serviços e taxas do domicílio principal,06,,00201,ENERGIA ELETRICA (KWH),0600201,06002,,,31002,Energia_eletrica,,,31002,Energia_eletrica
2008,06,Quadro 6 -   Serviços e taxas do domicílio principal,06,,00301,GAS ENCANADO (M3),0600301,06003,,,31005,Gas_domestico,,,31005,Gas_domestico
2008,06,Quadro 6 -   Serviços e taxas do domicílio principal,06,,00401,TELEFONE RESIDENCIAL,0600401,06004,,,40006,Outras_despesas_diversas,,,31003,Telefone_fixo
2008,06,Quadro 6 -   Serviços e taxas do domicílio principal,06,,00501,"ACESSO A INTERNET (PROVEDOR, A CABO, COMUNICACAO VIA SATELITE, ETC.)",0600501,06005,,,,,,,31007,Outros_servicos_etc
2008,06,Quadro 6 -   Serviços e taxas do domicílio principal,06,,00502,INTERNET BANDA LARGA,0600502,06005,,,,,,,31007,Outros_servicos_etc
2008,06,Quadro 6 -   Serviços e taxas do domicílio principal,06,,00503,PROVEDOR DE ACESSO A INTERNET DISCADA,0600503,06005,,,,,,,31007,Outros_servicos_etc
2008,06,Quadro 6 -   Serviços e taxas do domicílio principal,06,,00504,INTERNET SEM FIO,0600504,06005,,,,,,,31007,Outros_servicos_etc
2008,06,Quadro 6 -   Serviços e taxas do domicílio principal,06,,00505,INTERNET VIA SATELITE,0600505,06005,,,,,,,31007,Outros_servicos_etc
2008,06,Quadro 6 -   Serviços e taxas do domicílio principal,06,,00506,INTERNET VIA RADIO,0600506,06005,,,,,,,31007,Outros_servicos_etc
2008,06,Quadro 6 -   Serviços e taxas do domicílio principal,06,,00701,TV POR ASSINATURA (MENSALIDADE/PACOTE),0600701,06007,,,,,,,31007,Outros_servicos_etc
2008,06,Quadro 6 -   Serviços e taxas do domicílio principal,06,,00801,"TELEFONE FIXO, CELULAR E INTERNET (PACOTE)",0600801,06008,,,,,,,31004,Telefone_celular
2008,06,Quadro 6 -   Serviços e taxas do domicílio principal,06,,00901,TELEFONE FIXO E INTERNET (PACOTE),0600901,06009,,,,,,,31004,Telefone_celular
2008,06,Quadro 6 -   Serviços e taxas do domicílio principal,06,,01001,TV POR ASSINATURA E INTERNET (PACOTE),0601001,06010,,,,,,,31007,Outros_servicos_etc
2008,06,Quadro 6 -   Serviços e taxas do domicílio principal,06,,01101,TELEFONE FIXO E CELULAR (PACOTE),0601101,06011,,,,,,,31007,Outros_servicos_etc
2008,06,Quadro 6 -   Serviços e taxas do domicílio principal,06,,01201,"TELEFONE VIRTUAL - MENSAGEM (MENSALIDADE, ASSINATURA, ALUGUEL)",0601201,06012,,,,,,,31007,Outros_servicos_etc
2008,06,Quadro 6 -   Serviços e taxas do domicílio principal,06,,01202,"PAGERS (MENSALIDADE, ASSINATURA, ALUGUEL)",0601202,06012,,,,,,,31007,Outros_servicos_etc
2008,06,Quadro 6 -   Serviços e taxas do domicílio principal,06,,01203,"MOBI (MENSALIDADE, ASSINATURA, ALUGUEL)",0601203,06012,,,,,,,31007,Outros_servicos_etc
2008,06,Quadro 6 -   Serviços e taxas do domicílio principal,06,,01204,"BIP (MENSALIDADE, ASSINATURA, ALUGUEL)",0601204,06012,,,,,,,31007,Outros_servicos_etc
2008,06,Quadro 6 -   Serviços e taxas do domicílio principal,06,,01301,INTERNET E CELULAR (PACOTE),0601301,06013,,,,,,,31004,Telefone_celular
2008,06,Quadro 6 -   Serviços e taxas do domicílio principal,06,,01401,"TELEFONE FIXO, INTERNET E TV POR ASSINATURA (PACOTE)",0601401,06014,,,,,,,31003,Telefone_fixo
2008,06,Quadro 6 -   Serviços e taxas do domicílio principal,06,,01501,TELEFONE FIXO E TV POR ASSINATURA (PACOTE),0601501,06015,,,,,,,31003,Telefone_fixo
2008,06,Quadro 6 -   Serviços e taxas do domicílio principal,06,,99901,AGREGADO,0699901,06999,16103,,32001,Manutencao_do_lar,16103,xx.x.x Outros produtos,31007,Outros_servicos_etc
2008,07,Quadro 7 -   Aquisição de combustíveis domésticos e outros do domicílio principal,07,,00101,GAS DE BOTIJAO (COMBUSTIVEL DOMESTICO),0700101,07001,,,,,,,31005,Gas_domestico
2008,07,Quadro 7 -   Aquisição de combustíveis domésticos e outros do domicílio principal,07,,00102,GAS DE BOTIJAO (KG) (COMBUSTIVEL DOMESTICO),0700102,07001,,,,,,,31005,Gas_domestico
2008,07,Quadro 7 -   Aquisição de combustíveis domésticos e outros do domicílio principal,07,,00103,GAS DE BUJAO (COMBUSTIVEL DOMESTICO),0700103,07001,,,,,,,31005,Gas_domestico
2008,07,Quadro 7 -   Aquisição de combustíveis domésticos e outros do domicílio principal,07,,00104,GAS DE BUJAO (KG) (COMBUSTIVEL DOMESTICO),0700104,07001,,,,,,,31005,Gas_domestico
2008,07,Quadro 7 -   Aquisição de combustíveis domésticos e outros do domicílio principal,07,,00201,AGUA PARA USO GERAL,0700201,07002,,32001,,,32001,Manutencao_do_lar,32001,Manutencao_do_lar
2008,07,Quadro 7 -   Aquisição de combustíveis domésticos e outros do domicílio principal,07,,00202,AQUISICAO DE AGUA (USO GERAL) (LITROS),0700202,07002,,32001,,,32001,Manutencao_do_lar,32001,Manutencao_do_lar
2008,07,Quadro 7 -   Aquisição de combustíveis domésticos e outros do domicílio principal,07,,00203,PIPA DE AGUA (LITROS),0700203,07002,,32001,,,32001,Manutencao_do_lar,32001,Manutencao_do_lar
