5,8
2002,2008
Aluguel,Aluguel
,Condomínio
Energia_eletrica,Serviços_e_taxas
Telefone_fixo,
Telefone_celular,
Gas_domestico,
Agua_e_esgoto,
Outros_servicos_etc,
Manutencao_do_lar,Manutenção_do_lar
Artigos_de_limpeza,Artigos_de_limpeza
Mobiliarios_e_artigos_do_lar,Mobiliários_e_artigos_do_lar
Eletrodomesticos,Eletrodomésticos
Consertos_de_artigos_do_lar,Consertos_de_artigos_do_lar
Roupa_de_homem,Roupa_de_homem
Roupa_de_mulher,Roupa_de_mulher
Roupa_de_crianca,Roupa_de_criança
Calcados_e_apetrechos,Calçados_e_apetrechos
Joias_e_bijuterias,Jóias_e_bijuterias
Tecidos_e_armarinhos,Tecidos_e_armarinhos
Urbano,Urbano
Gasolina_para_veiculo_proprio,Gasolina_veículo_próprio
Alcool_para_veiculo_proprio,Álcool_veículo_próprio
Manutencao_de_veiculo_proprio,Manutenção_e_acessórios
Aquisicao_de_veiculos,Aquisição_de_veículos
Viagens,Viagens_esporádicas
Outros_transporte,Outras_(transporte)
Perfume,Perfume
Produtos_para_cabelo,Produtos_para_cabelo
Sabonete,Sabonete
Produtos_de_uso_pessoal,Instrumentos_e_produtos_de_uso_pessoal
Remedios,Remédios
Plano_Seguro_saude,Plano:Seguro_saúde
Consulta_e_tratamento_dentario,Consulta_e_tratamento_dentário
Consulta_medica,Consulta_médica
Tratamento_ambulatorial,Tratamento_médico_e_ambulatorial
Servicos_de_cirurgia,Serviços_de_cirurgia
Hospitalizacao,Hospitalização
Exames_diversos,Exames_diversos
Material_de_tratamento,Material_de_tratamento
Outras_assistencia_saude,Outras_(assistência_à_saúde)
Cursos_regulares,Cursos_regulares
Curso_superior,Curso_superior
Outros_cursos,Outros_cursos_e_atividades
Livros_e_revistas_tecnicas,Livros_didáticos_e_revistas_técnicas
Artigos_escolares,Artigos_escolares
Outras_educacao,Outras_(educação)
Brinquedos_e_jogos,Brinquedos_e_jogos
Celular_e_acessorios,Celular_e_acessórios
Periodicos_livros_e_revistas,Periódicos_livros_e_revistas_não_didáticos
Diversoes_e_esportes,Recreações_e_esportes
Outras_recreacao_etc,Outras_(recreação_e_cultura)
Fumo,Fumo
Cabeleireiro,Cabeleireiro
Manicuro_e_pedicuro,Manicuro_e_pedicuro
Consertos_de_artigos_pessoais,Consertos_de_artigos_pessoais
Outras_servicos_pessoais,Outras_(serviços_pessoais)
Jogos_e_apostas,Jogos_e_apostas
Comunicacao,Comunicação
Cerimonias_e_festas,Cerimônias_e_festas
Servicos_profissionais,Serviços_profissionais
Imoveis_de_uso_ocasional,Imóveis_de_uso_ocasional
Outras_despesas_diversas,Outras_(despesas_diversas)
Impostos,Impostos
Contribuicoes_trabalhistas,Contribuições_trabalhistas
Servicos_bancarios,Serviços_bancários
Pensoes_mesadas_e_doacoes,Pensões_mesadas_e_doações
Previdencia_privada,Previdência_privada
Outras_despesas,Outras_despesas_correntes
Imovel_aquisicao,Imóvel_(aquisição)
Imovel_reforma,Imóvel_(reforma)
Outros_investimentos,Outros_investimentos
Emprestimo_e_carne,Empréstimo
Prestacao_de_imovel,Prestação_de_imóvel
Empregado,Renda_Empregado
Empregador,Renda_Empregador
Conta_propria,Renda_Conta_Própria
,INSS
Aposentadoria_prev_publica,Previdência_Pública
Aposentadoria_prev_privada,Previdência_Privada
Bolsa_de_estudo,
,Programas_Sociais_Federais
Pensao_aliment_mesada_doacao,Pensão_Mesada_Doação
Transferencias_transitorias,Outras_Transferências
Aluguel_de_bens_imoveis,Rendimento_de_aluguel
Aluguel_de_bens_moveis,
Vendas_esporadicas,
Emprestimos,
Aplicacoes_de_capital,
Outros_renda,Outras_rendas
