0,1,2,3,4,5,6,7,8,9
,,"Tabela 419 - Aquisição (monetária) alimentar domiciliar per capita anual por grupos, subgrupos e produtos e classes de recebimento mensal familiar",,,,,,,
,,Variável - Aquisição (monetária) alimentar domiciliar per capita anual (Quilogramas),,,,,,,
,,Total das áreas - POF - Total das áreas,,,,,,,
,,Classes de recebimento mensal familiar - Total,,,,,,,
,,"Grupos, subgrupos e produtos",Ano,,,,,,
,,,1987,1995,2002,2008,,,
,,Total,377.416,339.742,309.605,297.95,Total,,Total
1. Cereais e leguminosas,NADA,1. Cereais e leguminosas,43.821,38.972,32.598,29.356,1. Cereais e leguminosas,,1. Cereais e leguminosas
1. Cereais e leguminosas,1.1 Cereais,1.1 Cereais,31.712,28.486,23.347,21.569,1.1 Cereais,,1.1 Cereais
1. Cereais e leguminosas,1.1 Cereais,1.1.1 Arroz integral,0.411,0.284,...,...,1.1.1 Arroz,1.1.1 Arroz integral1.1.1 Arroz não especificado1.1.2 Arroz polido,1.1.1 Arroz integral1.1.1 Arroz não especificado1.1.2 Arroz polido
1. Cereais e leguminosas,1.1 Cereais,1.1.1 Arroz não especificado,...,...,5.043,7.754,,,0
1. Cereais e leguminosas,1.1 Cereais,1.1.2 Arroz polido,29.913,26.483,16.743,12.681,,,0
1. Cereais e leguminosas,1.1 Cereais,1.1.3 Milho seco,0.893,1.258,...,...,1.1.3 Milho,1.1.3 Milho seco1.1.3 Milho em grão1.1.4 Milho verde em conserva1.1.5 Milho verde em espiga,1.1.3 Milho seco1.1.3 Milho em grão1.1.4 Milho verde em conserva1.1.5 Milho verde em espiga
1. Cereais e leguminosas,1.1 Cereais,1.1.3 Milho em grão,...,...,1.174,0.624,,,0
1. Cereais e leguminosas,1.1 Cereais,1.1.4 Milho verde em conserva,...,...,0.115,0.203,,,0
1. Cereais e leguminosas,1.1 Cereais,1.1.5 Milho verde em espiga,...,...,0.175,0.235,,,0
1. Cereais e leguminosas,1.1 Cereais,1.1.6 Outros,0.473,0.462,0.096,0.072,1.1.6 Outros,,1.1.6 Outros
1. Cereais e leguminosas,1.2 Leguminosas,1.2 Leguminosas,12.109,10.486,9.251,7.787,1.2 Leguminosas,,1.2 Leguminosas
1. Cereais e leguminosas,1.2 Leguminosas,1.2.1 Feijão-fradinho,0.561,0.62,0.66,0.818,1.2.1 Feijão-fradinho,,1.2.1 Feijão-fradinho
1. Cereais e leguminosas,1.2 Leguminosas,1.2.2 Feijão-jalo,0.367,0.107,0.034,0.041,1.2.2 Feijão-jalo,,1.2.2 Feijão-jalo
