0,1,2,3,4,6,7,8
1. Cereais e leguminosas,NADA,1. Cereais e leguminosas,1. Cereais e leguminosas,False,1. Cereais e leguminosas,1.1 Cereais,1.1.1 Arroz integral1.1.1 Arroz não especificado1.1.2 Arroz polido
1. Cereais e leguminosas,1.1 Cereais,1.1 Cereais,1.1 Cereais,False,1. Cereais e leguminosas,1.1 Cereais,1.1.3 Milho seco1.1.3 Milho em grão1.1.4 Milho verde em conserva1.1.5 Milho verde em espiga
1. Cereais e leguminosas,1.1 Cereais,1.1.1 Arroz integral,1.1.1 Arroz integral1.1.1 Arroz não especificado1.1.2 Arroz polido,True,1. Cereais e leguminosas,1.1 Cereais,1.1.6 Outros
1. Cereais e leguminosas,1.1 Cereais,1.1.1 Arroz não especificado,,False,1. Cereais e leguminosas,1.2 Leguminosas,1.2.1 Feijão-fradinho
1. Cereais e leguminosas,1.1 Cereais,1.1.2 Arroz polido,,False,1. Cereais e leguminosas,1.2 Leguminosas,1.2.2 Feijão-jalo
1. Cereais e leguminosas,1.1 Cereais,1.1.3 Milho seco,1.1.3 Milho seco1.1.3 Milho em grão1.1.4 Milho verde em conserva1.1.5 Milho verde em espiga,True,1. Cereais e leguminosas,1.2 Leguminosas,1.2.3 Feijão-manteiga
1. Cereais e leguminosas,1.1 Cereais,1.1.3 Milho em grão,,False,1. Cereais e leguminosas,1.2 Leguminosas,1.2.4 Feijão-mulatinho
1. Cereais e leguminosas,1.1 Cereais,1.1.4 Milho verde em conserva,,False,1. Cereais e leguminosas,1.2 Leguminosas,1.2.5 Feijão-preto
1. Cereais e leguminosas,1.1 Cereais,1.1.5 Milho verde em espiga,,False,1. Cereais e leguminosas,1.2 Leguminosas,1.2.6 Feijão-rajado
1. Cereais e leguminosas,1.1 Cereais,1.1.6 Outros,1.1.6 Outros,True,1. Cereais e leguminosas,1.2 Leguminosas,1.2.7 Feijão-roxo
1. Cereais e leguminosas,1.2 Leguminosas,1.2 Leguminosas,1.2 Leguminosas,False,1. Cereais e leguminosas,1.2 Leguminosas,1.2.8 Outros feijões
1. Cereais e leguminosas,1.2 Leguminosas,1.2.1 Feijão-fradinho,1.2.1 Feijão-fradinho,True,1. Cereais e leguminosas,1.2 Leguminosas,1.2.9 Outras
1. Cereais e leguminosas,1.2 Leguminosas,1.2.2 Feijão-jalo,1.2.2 Feijão-jalo,True,2. Hortaliças,2.1 Hortaliças folhosas e florais,2.1.2 Agrião
1. Cereais e leguminosas,1.2 Leguminosas,1.2.3 Feijão-manteiga,1.2.3 Feijão-manteiga,True,2. Hortaliças,2.1 Hortaliças folhosas e florais,2.1.3 Alface
1. Cereais e leguminosas,1.2 Leguminosas,1.2.4 Feijão-mulatinho,1.2.4 Feijão-mulatinho,True,2. Hortaliças,2.1 Hortaliças folhosas e florais,2.1.4 Cheiro-verde
1. Cereais e leguminosas,1.2 Leguminosas,1.2.5 Feijão-preto,1.2.5 Feijão-preto,True,2. Hortaliças,2.1 Hortaliças folhosas e florais,2.1.5 Couve2.1.6 Couve-brócolis
1. Cereais e leguminosas,1.2 Leguminosas,1.2.6 Feijão-rajado,1.2.6 Feijão-rajado,True,2. Hortaliças,2.1 Hortaliças folhosas e florais,2.1.7 Couve-flor
1. Cereais e leguminosas,1.2 Leguminosas,1.2.7 Feijão-roxo,1.2.7 Feijão-roxo,True,2. Hortaliças,2.1 Hortaliças folhosas e florais,2.1.8 Repolho fresco2.1.8 Repolho
1. Cereais e leguminosas,1.2 Leguminosas,1.2.8 Outros feijões,1.2.8 Outros feijões,True,2. Hortaliças,2.1 Hortaliças folhosas e florais,2.1.9 Outras2.1.1 Acelga
1. Cereais e leguminosas,1.2 Leguminosas,1.2.9 Outras,1.2.9 Outras,True,2. Hortaliças,2.2 Hortaliças frutosas,2.2.1 Abóbora comum2.2.1 Abóbora
2. Hortaliças,NADA,2. Hortaliças,2. Hortaliças,False,2. Hortaliças,2.2 Hortaliças frutosas,2.2.2 Abobrinha
2. Hortaliças,2.1 Hortaliças folhosas e florais,2.1 Hortaliças folhosas e florais,2.1 Hortaliças folhosas e florais,False,2. Hortaliças,2.2 Hortaliças frutosas,2.2.4 Berinjela
2. Hortaliças,2.1 Hortaliças folhosas e florais,2.1.1 Acelga,,False,2. Hortaliças,2.2 Hortaliças frutosas,2.2.5 Cebola2.3.8 Cebola fresca
2. Hortaliças,2.1 Hortaliças folhosas e florais,2.1.2 Agrião,2.1.2 Agrião,True,2. Hortaliças,2.2 Hortaliças frutosas,2.2.6 Chuchu
2. Hortaliças,2.1 Hortaliças folhosas e florais,2.1.3 Alface,2.1.3 Alface,True,2. Hortaliças,2.2 Hortaliças frutosas,2.2.7 Jiló
2. Hortaliças,2.1 Hortaliças folhosas e florais,2.1.4 Cheiro-verde,2.1.4 Cheiro-verde,True,2. Hortaliças,2.2 Hortaliças frutosas,2.2.9 Pepino fresco
2. Hortaliças,2.1 Hortaliças folhosas e florais,2.1.5 Couve,2.1.5 Couve2.1.6 Couve-brócolis,True,2. Hortaliças,2.2 Hortaliças frutosas,2.2.1 Pimentão
2. Hortaliças,2.1 Hortaliças folhosas e florais,2.1.6 Couve-brócolis,,False,2. Hortaliças,2.2 Hortaliças frutosas,2.2.11 Quiabo
2. Hortaliças,2.1 Hortaliças folhosas e florais,2.1.7 Couve-flor,2.1.7 Couve-flor,True,2. Hortaliças,2.2 Hortaliças frutosas,2.2.12 Tomate
2. Hortaliças,2.1 Hortaliças folhosas e florais,2.1.8 Repolho fresco,2.1.8 Repolho fresco2.1.8 Repolho,True,2. Hortaliças,2.2 Hortaliças frutosas,2.2.13 Vagem
2. Hortaliças,2.1 Hortaliças folhosas e florais,2.1.8 Repolho,,False,2. Hortaliças,2.2 Hortaliças frutosas,2.2.14 Outras2.2.8 Maxixe2.2.3 Azeitona em conserva1.2.8 Outros feijões
2. Hortaliças,2.1 Hortaliças folhosas e florais,2.1.9 Outras,2.1.9 Outras2.1.1 Acelga,True,2. Hortaliças,2.3 Hortaliças tuberosas e outras,2.3.1 Alho
