0,1,2,3,9,10
,,,,1988,
,,,,0700,DESPESA DO DOMICILIO PRINCIPAL COM SERVIÇOS PUBLICOS OU SIMILARES
PESQUISA DE ORÇAMENTOS FAMILIARES 1987-1988,,,,0701,AGUA E ESGOTO (DOMICÍLIO PRINCIPAL)
CADASTRO DE PRODUTOS E SERVIÇOS,,,,0702,ENERGIA ELÉTRICA (DOMICÍLIO PRINCIPAL)
,,,,0703,GÁS ENCANADO (DOMICÍLIO PRINCIPAL)
"( Nas situações de existência de diferentes descrições para o mesmo código,",,,,0704,TELELEFONE RESIDENCIAL (DOMICÍLIO PRINCIPAL)
significa que foram consideradas sinônimas ou denominações locais),,,,0705,GÁS DE BUTIJÃO (DOMICÍLIO PRINCIPAL)
1995,,,,0706,AQUISIÇÃO D´ÁGUA (DOMICÍLIO PRINCIPAL)
CÓDIGO DO ITEM,,DESCRIÇÃO DO ITEM,1988,0707,LENHA E CARVÃO (COMBUSTÍVEIS DOMÉSTICOS) (DOMICÍLIO PRINCIPAL)
700,0700,DESPESAS DO DOMICILIO PRINCIPAL COM SERVIÇOS PUBLICOS,DESPESA DO DOMICILIO PRINCIPAL COM SERVIÇOS PUBLICOS OU SIMILARES,0708,GÁS DE BUTIJÃO PARA ILUMINAÇÃO (DOMICÍLIO PRINCIPAL)
701,0701,AGUA E ESGOTO,AGUA E ESGOTO (DOMICÍLIO PRINCIPAL),0709,QUEROSENE (COMBUSTÍVEL DOMESTICO) (DOMICÍLIO PRINCIPAL)
702,0702,ENERGIA ELETRICA,ENERGIA ELÉTRICA (DOMICÍLIO PRINCIPAL),0711,ALCOOL (COMBUSTÍVEL DOMESTICO) (DOMICÍLIO PRINCIPAL)
703,0703,GAS ENCANADO,GÁS ENCANADO (DOMICÍLIO PRINCIPAL),0712,ÓLEO DIESEL (COMBUSTÍVEL DOMESTICO) (DOMICÍLIO PRINCIPAL)
704,0704,TELEFONE RESIDENCIAL,TELELEFONE RESIDENCIAL (DOMICÍLIO PRINCIPAL),0713,TELEFONE RESIDENCIAL (CHAMADA INTERURBANA) (DOMICÍLIO PRINCIPAL)
705,0705,GAS DE BUJÃO,GÁS DE BUTIJÃO (DOMICÍLIO PRINCIPAL),0714,TELEFONE RESIDENCIAL (CHAMADA INTENACIONAL) (DOMICÍLIO PRINCIPAL)
706,0706,COMPRA D'AGUA,AQUISIÇÃO D´ÁGUA (DOMICÍLIO PRINCIPAL),0715,TELEFONE MÓVEL OU CELULAR (DOMICÍLIO PRINCIPAL)
706,0706,GARRAFÃO D'AGUA (ENTREGA DOMICILIAR),AQUISIÇÃO D´ÁGUA (DOMICÍLIO PRINCIPAL),0798,AGREGADO 1
707,0707,LENHA,LENHA E CARVÃO (COMBUSTÍVEIS DOMÉSTICOS) (DOMICÍLIO PRINCIPAL),0800,"DESPESA COM CONSTRUÇÃO, REFORMA E PEQUENOS REPAROS DE IMÓVEIS E JARDINAGEM"
708,0708,GAS DE BUJÃO PARA ILUMINAÇÃO,GÁS DE BUTIJÃO PARA ILUMINAÇÃO (DOMICÍLIO PRINCIPAL),0801,AZULEJO E PISO
709,0709,QUEROSENE (COMBUSTIVEL),QUEROSENE (COMBUSTÍVEL DOMESTICO) (DOMICÍLIO PRINCIPAL),0802,"PIA, VASO, BIDE, SABONETEIRA E CONJUNTO SANITARIO"
710,0710,CARVÃO VEGETAL (COMBUSTIVEL),,0803,JANELA E PORTA
711,0711,ALCOOL (COMBUSTIVEL),ALCOOL (COMBUSTÍVEL DOMESTICO) (DOMICÍLIO PRINCIPAL),0804,MADEIRA E TACO
712,0712,OLEO (COMBUSTIVEL DOMESTICO),ÓLEO DIESEL (COMBUSTÍVEL DOMESTICO) (DOMICÍLIO PRINCIPAL),0805,CIMENTO
798,0798,AGREGADO,AGREGADO 1,0806,TIJOLO
800,0800,DESPESAS DO DOMICILIO PRINCIPAL COM HABITAÇÃO,"DESPESA COM CONSTRUÇÃO, REFORMA E PEQUENOS REPAROS DE IMÓVEIS E JARDINAGEM",0807,VIDRO
805,0805,ALUGUEL DO IMOVEL,CIMENTO,0808,TINTA
807,0807,PRESTAÇÃO DO IMOVEL,VIDRO,0809,MATERIAL DE PINTURA EM GERAL
810,0810,ALUGUEL DE GARAGEM,"TORNEIRA, CANO E MATERIAL HIDRÁULICO EM GERAL",0810,"TORNEIRA, CANO E MATERIAL HIDRÁULICO EM GERAL"
812,0812,CONDOMINIO,FIO E MATERIAL ELÉTRICO EM GERAL,0811,"FERRAGENS (FECHADURA, FERRO, ARAME, PREGO, ETC.)"
814,0814,IMPOSTO PREDIAL,"DEDETIZAÇÃO, DESRATIZAÇÃO, DESINSETIZAÇÃO",0812,FIO E MATERIAL ELÉTRICO EM GERAL
900,0900,DESPESAS DO DOMICILIO PRINCIPAL COM OUTROS SERVIÇOS DE UTILIDADE PUBLICA E HABITAÇÃO,"DESPESA COM CONSERTO E MANUTENÇÃO DE MOVEIS, APARELHOS, MAQUINAS E UTENSÍLIOS DOMESTICOS",0813,"MÃO-DE-OBRA (PEDREIRO, MARCENEIRO, ELETRICISTA, ETC.)"
901,0901,"AQUISIÇÃO DO IMOVEL A VISTA (VALOR PAGO, IMPOSTO DE TRANSMISSÃO, ETC.)",CONSERTO DE MOVEIS,0814,"DEDETIZAÇÃO, DESRATIZAÇÃO, DESINSETIZAÇÃO"
