0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,19,20,21,22
Cod,Quadro,Codigo,Variavel,Nivel_1,Descricao_1,Nivel_2,Descricao_2,Nivel_3,Descricao_3,Nivel_4,Descricao_4,Nivel_5,Descricao_5,Nivel_6,Descricao_6,DePara,Nivel 1,Nível 2,Descrição,Codigo final
63001,V8000_DEFLA,1,Despesas Correntes,11,Despesas de Consumo,1101,Alimentacao,11011,Alimentação no domicílio,1101101,"Cereais, leguminosas e oleaginosas",11011011,Arroz,63001,ARROZ POLIDO e sinonimos,01101,1. Cereais e leguminosas,1.1 Cereais,x.x.x Arroz integralx.x.x Arroz não especificadox.x.x Arroz polido,01101
63002,V8000_DEFLA,1,Despesas Correntes,11,Despesas de Consumo,1101,Alimentacao,11011,Alimentação no domicílio,1101101,"Cereais, leguminosas e oleaginosas",11011011,Arroz,63002,ARROZ INTEGRAL e sinonimos,01101,1. Cereais e leguminosas,1.1 Cereais,x.x.x Milho secox.x.x Milho em grãox.x.x Milho verde em conservax.x.x Milho verde em espiga,01102
63003,V8000_DEFLA,1,Despesas Correntes,11,Despesas de Consumo,1101,Alimentacao,11011,Alimentação no domicílio,1101101,"Cereais, leguminosas e oleaginosas",11011011,Arroz,63003,ARROZ COM CASCA,01101,1. Cereais e leguminosas,1.1 Cereais,x.x.x Outros,01103
63004,V8000_DEFLA,1,Despesas Correntes,11,Despesas de Consumo,1101,Alimentacao,11011,Alimentação no domicílio,1101101,"Cereais, leguminosas e oleaginosas",11011014,Outros,63004,AVEIA EM GRAO e sinonimos,01103,1. Cereais e leguminosas,1.2 Leguminosas,x.x.x Feijão-fradinho,01201
63005,V8000_DEFLA,1,Despesas Correntes,11,Despesas de Consumo,1101,Alimentacao,11011,Alimentação no domicílio,1101101,"Cereais, leguminosas e oleaginosas",11011014,Outros,63005,PIPOCA DE ARROZ INDUSTRIALIZADA,01103,1. Cereais e leguminosas,1.2 Leguminosas,x.x.x Feijão-jalo,01202
63006,V8000_DEFLA,1,Despesas Correntes,11,Despesas de Consumo,1101,Alimentacao,11011,Alimentação no domicílio,1101101,"Cereais, leguminosas e oleaginosas",11011014,Outros,63006,CEVADA EM GRAO,01103,1. Cereais e leguminosas,1.2 Leguminosas,x.x.x Feijão-manteiga,01203
63007,V8000_DEFLA,1,Despesas Correntes,11,Despesas de Consumo,1101,Alimentacao,11011,Alimentação no domicílio,1101101,"Cereais, leguminosas e oleaginosas",11011014,Outros,63007,MILHO EM GRAO e sinonimos,01102,1. Cereais e leguminosas,1.2 Leguminosas,x.x.x Feijão-mulatinho,01204
63008,V8000_DEFLA,1,Despesas Correntes,11,Despesas de Consumo,1101,Alimentacao,11011,Alimentação no domicílio,1101101,"Cereais, leguminosas e oleaginosas",11011014,Outros,63008,MILHO VERDE EM ESPIGA,01102,1. Cereais e leguminosas,1.2 Leguminosas,x.x.x Feijão-preto,01205
63009,V8000_DEFLA,1,Despesas Correntes,11,Despesas de Consumo,1101,Alimentacao,11011,Alimentação no domicílio,1101101,"Cereais, leguminosas e oleaginosas",11011014,Outros,63009,TRIGO EM GRAO e sinonimos,01103,1. Cereais e leguminosas,1.2 Leguminosas,x.x.x Feijão-rajado,01206
