0,1,2,3,4,5,6,7,8,9,10,11,12,13
,https://github.com/datazoompuc/datazoom_social_Stata/blob/main/POF/1995/datazoom_pof1995.ado,,,,,,,,,,,,
1995,Alimentação no domicílio (DAD),Cereais_leguminosas_etc,Arroz,"6301:6303, 6333, 6337",,,,,,,,,
1995,Alimentação no domicílio (DAD),Cereais_leguminosas_etc,Feijao,"6313:6325, 6331, 6336",,,,,,,,,
1995,Alimentação no domicílio (DAD),Cereais_leguminosas_etc,Outros_cereais_etc,"6304:6312, 6326:6330, 6332, 6335",,,,,,,,,
1995,Alimentação no domicílio (DAD),Farinhas_feculas_e_massas,Macarrao,6427:6434,,,,,,,,,
1995,Alimentação no domicílio (DAD),Farinhas_feculas_e_massas,Farinha_de_trigo,6410,,,,,,,,,
1995,Alimentação no domicílio (DAD),Farinhas_feculas_e_massas,Farinha_de_mandioca,6414,,,,,,,,,
1995,Alimentação no domicílio (DAD),Farinhas_feculas_e_massas,Outras_farinhas_etc,"6401:6409, 6411:6413, 6415:6426, 6435:6439, 6442:6444",,,,,,,,,
1995,Alimentação no domicílio (DAD),Tuberculos_e_raizes,Batata_inglesa,6351,,,,,,,,,
1995,Alimentação no domicílio (DAD),Tuberculos_e_raizes,Cenoura,6362,,,,,,,,,
1995,Alimentação no domicílio (DAD),Tuberculos_e_raizes,Outros_tuberculos,"6352:6361, 6363:6366",,,,,,,,,
1995,Alimentação no domicílio (DAD),Acucares_e_derivados,Acucar_refinado,6701,,,,,,,,,
1995,Alimentação no domicílio (DAD),Acucares_e_derivados,Acucar_cristal,6702,,,,,,,,,
1995,Alimentação no domicílio (DAD),Acucares_e_derivados,Outros_acucares_etc,6703:6765,,,,,,,,,
1995,Alimentação no domicílio (DAD),Legumes_e_verduras,Tomate,6551,,,,,,,,,
1995,Alimentação no domicílio (DAD),Legumes_e_verduras,Cebola,6557,,,,,,,,,
1995,Alimentação no domicílio (DAD),Legumes_e_verduras,Alface,6501,,,,,,,,,
1995,Alimentação no domicílio (DAD),Legumes_e_verduras,Outros_legumes_etc,"6502:6550, 6552:6556, 6558:6562",,,,,,,,,
1995,Alimentação no domicílio (DAD),Frutas,Banana,6601:6611,,,,,,,,,
1995,Alimentação no domicílio (DAD),Frutas,Laranja,6612:6618,,,,,,,,,
1995,Alimentação no domicílio (DAD),Frutas,Maca,6630,,,,,,,,,
1995,Alimentação no domicílio (DAD),Frutas,Outras_frutas,"6451, 6452, 6459:6464, 6466:6469, 6471, 6619:6629, 6631:6688",,,,,,,,,
1995,Alimentação no domicílio (DAD),Carnes_visceras_etc,Carne_de_boi_de_primeira,"6901:6907, 6914, 6916",,,,,,,,,
1995,Alimentação no domicílio (DAD),Carnes_visceras_etc,Carne_de_boi_de_segunda,"6908:6913, 6915, 6917, 6926",,,,,,,,,
1995,Alimentação no domicílio (DAD),Carnes_visceras_etc,Carne_de_suino,6933:6937,,,,,,,,,
