celula,grupo_base,nome_base,grupo_outra,nome_outra,explicada_por,itens
1987:1665,38005,Outras recreacao etc,32003,Mobiliarios e artigos do lar,,BATERIA MUSICAL | INSTRUMENTOS DE BATERIA MUSICAL
1987:1684,38005,Outras recreacao etc,32003,Mobiliarios e artigos do lar,,INSTRUMENTOS OU MATERIAL PARA REVELAÇÃO FOTOGRAFICA (HOBBY) | MATERIAL OU INSTRUMENTOS PARA REVELAÇÃO FOTOGRAFICA (HOBBY)
1987:2230,12205,Pamonha,16104,Refeição; Refeição pronta,form#6cb165ee,PAMONHA (POF4)
1987:2308,34009,Estacionamento e vaga cativa de estacionamento,34007,Outros transporte,form#901a97a2,ESTACIONAMENTO
1987:2309,34011,Pedagio,34007,Outros transporte,form#2897ccc6,PEDAGIO
1987:2312,34009,Estacionamento e vaga cativa de estacionamento,34007,Outros transporte,form#901a97a2,ESTACIONAMENTO-METRO
1987:2313,34010,Oleo diesel,34007,Outros transporte,form#02958fec,OLEO DISEL (COMBUSTIVEL)
1987:2902,36006,Servicos de cirurgia,36001,Remedios,,ALGODÃO | ANTISEPTICO | ATADURA | DESINFETANTE (MEDICAMENTO) | ESPARADRAPO | GAZE | IODO | MATERIAL PARA CURATIVOS | MERCURIO CROMO
1987:2903,36006,Servicos de cirurgia,36001,Remedios,,MAMADEIRAS
1987:2904,36006,Servicos de cirurgia,36001,Remedios,,BICOS (CHUPETAS) | CHUPETAS OU BICOS
1987:2905,36006,Servicos de cirurgia,36001,Remedios,,TERMOMETRO
1987:2906,36006,Servicos de cirurgia,36001,Remedios,,SERINGA
1987:2907,36009,Material de tratamento,36001,Remedios,,VASELINA
1987:2908,36010,Outras assistencia saude,36001,Remedios,,ANTICONCEPCIONAL DE QUALQUER TIPO | DIU (ANTICONCEPCIONAL) | PRESERVATIVO
1987:2909,36009,Material de tratamento,36001,Remedios,,SOLUÇÃO PARA LENTE DE CONTACTO | SORO FISIOLOGICO
1987:2910,36010,Outras assistencia saude,36001,Remedios,,SHAMPOO MEDICINAL
1987:2911,35004,Produtos de uso pessoal,36001,Remedios,,COREGA | FIXADOR DE DENTADURA
1987:2912,36009,Material de tratamento,36001,Remedios,,COTONETE
1987:2913,36006,Servicos de cirurgia,36001,Remedios,,BORRACHA PARA DENTIÇÃO DE BEBE | BORRACHA PARA MORDER | MORDEDOR PARA BEBE | MORDEDOR PARA DENTIÇÃO DE BEBE
1987:2915,36010,Outras assistencia saude,36001,Remedios,,TESTE DE GRAVIDEZ
1987:2917,36009,Material de tratamento,36001,Remedios,,UTENSILIOS PARA COLETAR FEZES E URINA
1987:2918,36006,Servicos de cirurgia,36001,Remedios,,BOLSA DE AGUA QUENTE
1987:3201,38004,Diversoes e esportes,37005,Artigos escolares,,CINEMA
1987:3202,38004,Diversoes e esportes,37005,Artigos escolares,,DANÇA CLASSICA | OPERA | TEATRO
1987:3203,38004,Diversoes e esportes,37005,Artigos escolares,,FUTEBOL
1987:3204,38004,Diversoes e esportes,38003,Periodicos livros e revistas,,"BASQUETEBOL | CORRIDA AUTOMOBILISTICA | FUTEBOL DE SALÃO | TENIS (INGRESSO) | VOLEIBOL, BASQUETEBOL, ETC."
1987:3205,38004,Diversoes e esportes,38003,Periodicos livros e revistas,,"ASSOCIAÇÃO RECREATIVA | CLUBE (MENSALIDADE, TAXA) | VIDEO CLUBE (TAXA)"
1987:3209,38005,Outras recreacao etc,37005,Artigos escolares,form#049d140d,ALUGUEL DE FITAS PARA VIDEO-CASSETE E VIDEO-GAME
1987:3212,38005,Outras recreacao etc,37005,Artigos escolares,form#049d140d,PARQUE DE DIVERSÕES
1987:3213,38005,Outras recreacao etc,37005,Artigos escolares,form#049d140d,JARDIM ZOOLOGICO
1987:3611,35006,Fralda descartável infantil,33003,Roupa de crianca,form#9c2ec8a1,FRALDAS DESCARTAVEIS (CRIANÇA)
1987:4301,37001,Cursos regulares,34004,Manutencao de veiculo proprio,,"CURSO PRE-ESCOLAR | CURSO REGULAR DE 1º GRAU | CURSO REGULAR DE 1º, 2º, 3º GRAUS E PRE-ESCOLAR | CURSO REGULAR DE 2º GRAU | CURSO REGULAR DE 3º GRAU"
1987:4302,37002,Curso superior,34004,Manutencao de veiculo proprio,,"AUTO-ESCOLA | CURSO DE BALE | CURSO DE DATILOGRAFIA | CURSO DE DIREÇÃO DE VEICULOS | CURSO DE GINASTICA | CURSO DE IOGA | CURSO DE MOTORISTA | CURSO DE MUSICA | CURSO SUPLETIVO | OUTROS CURSOS (SUPLETIVO, GINASTICA, DATILOGRAFIA, ETC.)"
1987:4303,37002,Curso superior,34004,Manutencao de veiculo proprio,,AULA PARTICULAR
1987:4304,37002,Curso superior,34004,Manutencao de veiculo proprio,,CURSO EM DISCO | CURSO EM DISCO OU FITA (LINGUAFONE) | CURSO EM FITA CASSETE
1987:4305,37001,Cursos regulares,34004,Manutencao de veiculo proprio,form#6e3b27c8,TAXA DE EXAME BIOMEDICO | TAXA DE MATERIAL ESCOLAR | TAXA ESCOLAR
1987:4306,37003,Outros cursos,34004,Manutencao de veiculo proprio,form#c3652c3e,ASSINATURA DE PERIODICO TECNICO
1987:4307,37001,Cursos regulares,34004,Manutencao de veiculo proprio,,LIVRO ESCOLAR DE 1º E 2º GRAUS
1987:4308,37001,Cursos regulares,34004,Manutencao de veiculo proprio,form#d6613757,APOSTILAS | DICIONARIO | LIVRO DIDATICO | LIVRO TECNICO | LIVROS E REVISTAS TECNICAS E OUTROS LIVROS DIDATICOS | REVISTA TECNICA
1987:4313,37005,Artigos escolares,34007,Outros transporte,form#667dba4d,CADERNETA ESCOLAR | CARTEIRA DE ESTUDANTE | CERTIFICADO DE CONCLUSÃO ESCOLAR | DECLARAÇÃO ESCOLAR | DIPLOMA | DOCUMENTAÇÃO ESCOLAR (EMOLUMENTO) | EMOLUMENTO (DESPESA COM DOCUMENTAÇÃO ESCOLAR) | FICHA MODELO 18 E 19 | TAXA DE TRANSFERENCIA ESCOLAR
1987:4326,37001,Cursos regulares,37002,Curso superior,,ALIMENTAÇÃO ESCOLAR
1987:4600,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,DESPESAS COM VIAGENS
1987:4601,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,ONIBUS (VIAGEM)
1987:4602,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,TREM (VIAGEM)
1987:4603,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,AVIÃO
1987:4604,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,NAVIO
1987:4605,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,GASTO COM COMBUSTIVEL EM VIAGEM DE AUTOMOVEL
1987:4606,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,ALIMENTAÇÃO (VIAGEM)
1987:4607,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,APART-HOTEL (VIAGEM) | BARRACA (VIAGEM) | CAMPING (VIAGEM) | HOSPEDAGEM (VIAGEM) | HOTEL (VIAGEM) | IGLOO (VIAGEM) | TRAILLER (VIAGEM)
1987:4608,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,EXCURSÕES (NÃO ESCOLAR) | GUIA TURISTICO EM EXCURSÃO | HOSPEDAGEM EM EXCURSÃO | TRANSPORTE EM EXCURSÃO
1987:4609,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,ESTACIONAMENTO (VIAGEM) | GARAGEM (VIAGEM)
1987:4610,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,ALUGUEL DE VEICULO (VIAGEM)
1987:4611,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,TAXI (VIAGEM)
1987:4612,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,BARCO (VIAGEM)
1987:4613,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,PEDAGIO (VIAGEM)
1987:4614,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,METRO (VIAGEM)
1987:4615,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,CAMINHÃO (VIAGEM) | PAU-DE-ARARA (VIAGEM)
1987:4616,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,AUTOMOVEL UTILITARIO (VIAGEM)
1987:4617,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,COLONIA DE FERIAS
1987:4618,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,ALFANDEGA (TAXA) | TAXA ALFANDEGARIA
1987:4697,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,EMPRESTIMO COMPULSORIO (VIAGEM AO EXTERIOR)
1987:4698,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,AGREGADO
1987:5007,34009,Estacionamento e vaga cativa de estacionamento,34004,Manutencao de veiculo proprio,form#901a97a2,VAGA DE ESTACIONAMENTO DE VEICULO | VAGAS CATIVAS DE ESTACIONAMENTO DE VEICULO
1987:5103,34008,Bicicleta,34005,Aquisicao de veiculos,form#ec4086fe,BICICLETA
1987:6305,01199,Outros,01103,Outros,,CENTEIO (EM GRÃO)
1987:6306,01104,Cevada,01103,Outros,,CEVADA (EM GRÃO)
1987:6309,01105,Trigo,01103,Outros,,QUIRERA DE TRIGO | TRIGO (EM GRÃO) | TRIGO INTEGRAL
1987:6310,01199,Outros,01103,Outros,,AMENDOIM (EM CASCA) (IN NATURA) | AMENDOIM (EM GRÃO) (IN NATURA) | MEDUBIM | MENDOBIM | MENDOIM
1987:6311,01213,Ervilha em grãos,01103,Outros,form#6cb80bc5,ERVILHA (EM GRÃO)
1987:6327,01211,Tremolo,01209,Outras,,TREMOÇO | TREMOÇO AMARELO | TREMOÇO BRANCO
1987:6329,01210,Lentilha,01209,Outras,,LENTILHA
1987:6330,01212,Soja em grão,01209,Outras,,FEIJÃO SOJA | SOJA (EM GRÃO)
1987:6332,01299,Outras,01209,Outras,,SEMENTE DE ABOBORA
1987:6335,01199,Outros,01103,Outros,,GERGELIM (GRÃO) | GERGELIM (SEMENTE) | SEMENTE DE GERGELIM
1987:6337,01199,Outros,01103,Outros,,ARROZ ESPECIAL (JAPONES) | ARROZ JAPONES (ESPECIAL)
1987:6715,12304,Melado de cana,12302,Outros; Polpa de fruta; Gelatina; Mel de abelha,form#adef62d8,MELADO
1987:6716,12303,Mel de abelha,12302,Outros; Polpa de fruta; Gelatina; Mel de abelha,form#200cea26,MEL | MEL DE ABELHA
1987:6717,12305,Gelatina,12302,Outros; Polpa de fruta; Gelatina; Mel de abelha,form#0abe6e37,GELATINA | GELATINA DIETETICA | GELATINA EM FOLHA | GELATINA EM PO | GELATINA PARA DIETA
1987:6751,12205,Pamonha,12204,Outros; Rapadura; Bombom; Chiclete; Chocolate em tablete,form#6cb165ee,PAMONHA
1987:706,31006,Agua e esgoto,31007,Outros servicos etc,form#48573d17,COMPRA D'AGUA | GARRAFÃO D'AGUA (ENTREGA DOMICILIAR)
1987:9320,15211,Caldo de cana,15209,Outras,form#78e2d7ab,CALDO DE CANA | GARAPA
1987:9321,15210,Agua de coco,15209,Outras,form#fe868d3f,AGUA DE COCO
1987:9337,15304,Café em grão,15303,Outros,form#c49e303a,CAFE EM GRÃO
1987:9345,15212,Chocolate engarrafado ou encartonado,15209,Outras,form#211b47cd,CHOCOLATE ENGARRAFADO | CHOCOMILK (CHOCOLATE ENGARRAFADO)
1987:9601,35005,Creme dental e fio dental,35004,Produtos de uso pessoal,form#21074115,CREME DENTAL E FIO DENTAL | FIO DENTAL | PASTA DE DENTE
1995:1651,38005,Outras recreacao etc,32003,Mobiliarios e artigos do lar,,LUNETA
1995:2308,34009,Estacionamento e vaga cativa de estacionamento,34007,Outros transporte,form#901a97a2,ESTACIONAMENTO
1995:2309,34011,Pedagio,34007,Outros transporte,form#2897ccc6,PEDAGIO
1995:2312,34009,Estacionamento e vaga cativa de estacionamento,34007,Outros transporte,form#901a97a2,ESTACIONAMENTO-METRÔ
1995:2313,34010,Oleo diesel,34007,Outros transporte,form#02958fec,ÓLEO DIESEL
1995:2430,12205,Pamonha,16104,Refeição; Refeição pronta,form#6cb165ee,PAMONHA
1995:2439,15212,Chocolate engarrafado ou encartonado,15209,Outras,form#211b47cd,TODDYNHO
1995:2935,36009,Material de tratamento,36001,Remedios,,SORO FISIOLÓGICO HIDRATANTE
1995:2959,35004,Produtos de uso pessoal,36009,Material de tratamento,,COREGA
1995:2974,36009,Material de tratamento,36001,Remedios,,COLÍRIO
1995:3611,35006,Fralda descartável infantil,33003,Roupa de crianca,form#9c2ec8a1,FRALDA DESCARTÁVEL (CRIANÇA)
1995:4100,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,DESPESAS COM VIAGENS
1995:4101,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,ÔNIBUS URBANO (VIAGEM)
1995:4102,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,TREM (VIAGEM)
1995:4103,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,AVIÃO (VIAGEM)
1995:4104,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,NAVIO (VIAGEM)
1995:4105,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,CONBUSTÍVEL DE VEÍCULO (VIAGEM)
1995:4106,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,ALIMENTAÇÃO (VIAGEM)
1995:4107,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,HOSPEDAGEM (VIAGEM)
1995:4108,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,EXCURSÃO (EXCETO ESCOLAR).(VIAGEM)
1995:4109,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,GARAGEM (VIAGEM)
1995:4110,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,ALUGUEL DE VEÍCULO (VIAGEM)
1995:4111,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,TAXI (VIAGEM)
1995:4112,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,BARCO (VIAGEM)
