Ano,Codigo,Descri_Item,Cod_harmo,conceito,componente
1987,4200,DESPESAS COM SERVIÇOS DE ASSISTENCIA A SAUDE,36010,agregado,C07
1987,4201,CONSULTA MEDICA,36004,consulta_medica,C01
1987,4202,CURANDEIRO E CURIOSO,36010,curandeiro_parteira,C12
1987,4202,CURIOSO,36010,curandeiro_parteira,C12
1987,4203,APARELHO ORTODONTICO,36003,odontologia,C04
1987,4203,DENTADURA,36003,odontologia,C04
1987,4203,PIVO,36003,odontologia,C04
1987,4203,"PROTESES E APARELHOS DENTARIOS (DENTADURA, PIVO, APARELHO ORTODONTICO, ETC.)",36003,odontologia,C04
1987,4204,COLOCAÇÃO DE JAQUETA DENTARIA,36003,odontologia,C04
1987,4204,EXTRAÇÃO DENTARIA,36003,odontologia,C04
1987,4204,OBTURAÇÃO DENTARIA,36003,odontologia,C04
1987,4204,TRATAMENTO DE CANAL DENTARIO,36003,odontologia,C04
1987,4204,"TRATAMENTO DENTARIO (EXTRAÇÃO, OBTURAÇÃO, TRATAMENTO DE CANAL, COLOCAÇÃO DE JAQUETA, ETC.)",36003,odontologia,C04
1987,4205,ANESTESISTA PARA CIRURGIA E PARTO,36006,cirurgia,C01
1987,4205,CIRURGIÃO PARA OPERAÇÃO E PARTO,36006,cirurgia,C01
1987,4205,OBSTETRA PARA CIRURGIA E PARTO,36006,cirurgia,C01
1987,4205,"PROFISSIONAIS DE SAUDE (CIRURGIÃO, OBSTETRA, ANESTESISTA, ETC.) PARA CIRURGIA E PARTO",36006,cirurgia,C01
1987,4206,HOSPITALIZAÇÃO,36007,hospitalizacao,C14
1987,4206,INTERNAÇÃO EM HOSPITAL,36007,hospitalizacao,C14
1987,4206,INTERNAÇÃO EM MATERNIDADE,36007,hospitalizacao,C14
1987,4206,INTERNAÇÃO EM PRONTO SOCORRO,36007,hospitalizacao,C14
1987,4207,CARDIOTOCOGRAFIA,36008,exames,C01
1987,4207,ECOGRAFIA,36008,exames,C01
1987,4207,ELETROCARDIOGRAMA,36008,exames,C01
1987,4207,ELETRODIAGNOSTICO,36008,exames,C01
1987,4207,ELETROENCEFALOGRAMA,36008,exames,C01
1987,4207,ENDOSCOPIA,36008,exames,C01
1987,4207,TOMOGRAFIA,36008,exames,C01
