cod_final,n1,n2,nome,n_produtos,anos_cobertos,anos_ausentes
01101,1. Cereais e leguminosas,1.1 Cereais,Arroz integral,169,5,
01102,1. Cereais e leguminosas,1.1 Cereais,Milho seco,126,5,
01103,1. Cereais e leguminosas,1.1 Cereais,Outros,129,5,
01201,1. Cereais e leguminosas,1.2 Leguminosas,Feijão-fradinho,205,5,
01202,1. Cereais e leguminosas,1.2 Leguminosas,Feijão-jalo,15,3,"2008, 2017"
01203,1. Cereais e leguminosas,1.2 Leguminosas,Feijão-manteiga,41,5,
01204,1. Cereais e leguminosas,1.2 Leguminosas,Feijão-mulatinho,72,5,
01205,1. Cereais e leguminosas,1.2 Leguminosas,Feijão-preto,74,5,
01206,1. Cereais e leguminosas,1.2 Leguminosas,Feijão-rajado,64,5,
01207,1. Cereais e leguminosas,1.2 Leguminosas,Feijão-roxo,43,5,
01208,1. Cereais e leguminosas,1.2 Leguminosas,Outros feijões,169,5,
01209,1. Cereais e leguminosas,1.2 Leguminosas,Outras,37,4,2002
02101,2. Hortaliças,2.1 Hortaliças folhosas e florais,Agrião,34,5,
02102,2. Hortaliças,2.1 Hortaliças folhosas e florais,Alface,69,5,
02103,2. Hortaliças,2.1 Hortaliças folhosas e florais,Cheiro-verde,38,5,
02104,2. Hortaliças,2.1 Hortaliças folhosas e florais,Couve,57,5,
02105,2. Hortaliças,2.1 Hortaliças folhosas e florais,Couve-flor,7,5,
02106,2. Hortaliças,2.1 Hortaliças folhosas e florais,Repolho fresco,26,5,
02107,2. Hortaliças,2.1 Hortaliças folhosas e florais,Outras,452,5,
02201,2. Hortaliças,2.2 Hortaliças frutosas,Abóbora comum,186,5,
02202,2. Hortaliças,2.2 Hortaliças frutosas,Abobrinha,36,5,
02203,2. Hortaliças,2.2 Hortaliças frutosas,Berinjela,12,5,
02204,2. Hortaliças,2.2 Hortaliças frutosas,Cebola,55,5,
02205,2. Hortaliças,2.2 Hortaliças frutosas,Chuchu,23,5,
02206,2. Hortaliças,2.2 Hortaliças frutosas,Jiló,18,5,
02207,2. Hortaliças,2.2 Hortaliças frutosas,Pepino fresco,8,5,
02208,2. Hortaliças,2.2 Hortaliças frutosas,Pimentão,25,5,
02209,2. Hortaliças,2.2 Hortaliças frutosas,Quiabo,14,5,
02210,2. Hortaliças,2.2 Hortaliças frutosas,Tomate,58,5,
02211,2. Hortaliças,2.2 Hortaliças frutosas,Vagem,23,5,
02212,2. Hortaliças,2.2 Hortaliças frutosas,Outras,385,5,
02301,2. Hortaliças,2.3 Hortaliças tuberosas e outras,Alho,32,5,
